"dist","escenario","modo","c","conv_X","conv_cX","max_dev_equivarianza","fevals_X","fevals_cX"
"exponential","exp","none",1000,0.96,0.94,6.57459213369171e-13,10.4395604395604,10.6483516483516
"exponential","exp","iqr",1000,0.98,0.99,2.50588378020987e-12,8.2680412371134,8.68041237113402
"normal","norm","none",1000,0.99,0.88,0.000693547962748844,15.4942528735632,34.4252873563218
"normal","norm","iqr",1000,1,1,0.00500521866238443,11.27,6.14
"gamma","gam","none",1000,0.9,0.86,8.12901794146797e-09,19.6962025316456,20.4430379746835
"gamma","gam","iqr",1000,1,0.99,5.6705696466956e-11,12.8585858585859,12.8080808080808
"lognormal","lnorm","none",1000,0.96,0.88,7.97996647466671e-08,21.6395348837209,24.1511627906977
"lognormal","lnorm","iqr",1000,1,0.99,3.82592156701205e-12,9.80808080808081,9.80808080808081
"burr","burr","none",1000,0.93,0.82,0.00465784314330254,52.6455696202532,60.2151898734177
"burr","burr","iqr",1000,1,1,0.0044640998984317,32.89,33.92
