"dgp","cfg","m","k","parametro","theta_true","R","n_success","conv_rate","bias","rel_bias","rmse","rel_rmse"
"moderada","P3c",3,3,"shape1",2,100,100,1,-0.00522940500664326,-0.00261470250332163,0.263896833354473,0.131948416677237
"moderada","P3c",3,3,"shape2",1.5,100,100,1,16.3956684597156,10.9304456398104,126.540076386603,84.360050924402
"moderada","P3c",3,3,"scale",500,100,100,1,947.834174482139,1.89566834896428,6019.4816380498,12.0389632760996
"moderada","P3w",3,3,"shape1",2,100,99,0.99,0.0278232608887152,0.0139116304443576,0.147297438238729,0.0736487191193644
"moderada","P3w",3,3,"shape2",1.5,100,99,0.99,0.0607137080652687,0.0404758053768458,0.540057646373219,0.360038430915479
"moderada","P3w",3,3,"scale",500,100,99,0.99,11.4712043907532,0.0229424087815064,121.933680296029,0.243867360592058
"moderada","P5",5,3,"shape1",2,100,100,1,0.013724978042073,0.00686248902103648,0.153346585508736,0.076673292754368
"moderada","P5",5,3,"shape2",1.5,100,100,1,0.106646957276644,0.0710979715177628,0.633049095395399,0.422032730263599
"moderada","P5",5,3,"scale",500,100,100,1,20.4823309948307,0.0409646619896614,136.464220839746,0.272928441679493
"pesada","P3c",3,3,"shape1",1.2,100,99,0.99,0.0376797298794695,0.031399774899558,0.189742472540826,0.158118727117355
"pesada","P3c",3,3,"shape2",0.8,100,99,0.99,0.0795148143491137,0.0993935179363921,0.447053257555641,0.558816571944551
"pesada","P3c",3,3,"scale",400,100,99,0.99,89.4350955926428,0.223587738981607,450.617804367208,1.12654451091802
"pesada","P3w",3,3,"shape1",1.2,100,97,0.97,-0.0436785840232026,-0.0363988200193355,0.106740459298374,0.0889503827486453
"pesada","P3w",3,3,"shape2",0.8,100,97,0.97,0.0799916469240695,0.0999895586550868,0.158823301007941,0.198529126259926
"pesada","P3w",3,3,"scale",400,100,97,0.97,57.0988754308995,0.142747188577249,111.70204631147,0.279255115778675
"pesada","P5",5,3,"shape1",1.2,100,95,0.95,0.0401941560015351,0.0334951300012792,0.18934547498072,0.157787895817267
"pesada","P5",5,3,"shape2",0.8,100,95,0.95,0.0452787130077771,0.0565983912597214,0.447334362121309,0.559167952651636
"pesada","P5",5,3,"scale",400,100,95,0.95,77.1904683633995,0.192976170908499,576.335244809531,1.44083811202383
