"caso","k","estado","motivo"
"p = 0",2,"REJECT","percentil fuera de (0,1)"
"p = 1",2,"REJECT","percentil fuera de (0,1)"
"p < 0",2,"REJECT","percentil fuera de (0,1)"
"p > 1",2,"REJECT","percentil fuera de (0,1)"
"NA",2,"REJECT","percentil no finito (NA/NaN/Inf)"
"NaN",2,"REJECT","percentil no finito (NA/NaN/Inf)"
"Inf",2,"REJECT","percentil no finito (NA/NaN/Inf)"
"duplicados",2,"REJECT","percentiles duplicados"
"vacio",2,"REJECT","conjunto vacio"
"m<k (m=1,k=2)",2,"REJECT","m=1 < k=2"
"m<k (m=2,k=3)",3,"REJECT","m=2 < k=3"
"m=k (k=2)",2,"ACCEPT","configuracion valida"
"preset 25/50/75 k=3",3,"ACCEPT","configuracion valida"
"P5 k=3",3,"ACCEPT","configuracion valida"
