policy_id,claim_id,date_occurred,loss_amount,exposure
P0001,C0001,2025-04-25,2491.88,0.311
P0002,C0002,2025-01-17,4524.8,0.611
P0003,C0003,2025-11-29,2015.24,0.239
P0004,C0004,2025-05-23,3413.48,0.477
P0005,C0005,2025-03-21,9549.3,0.373
P0006,C0006,2025-07-14,311.53,0.147
P0007,C0007,2025-10-02,4584.09,0.743
P0008,C0008,2025-07-05,796.27,0.647
P0009,C0009,2025-04-27,2993.68,0.094
P0010,C0010,2025-03-25,1424.23,0.842
P0011,C0011,2025-12-16,1550.67,0.304
P0012,C0012,2025-05-06,3585.87,0.213
P0013,C0013,2025-11-24,864.81,0.99
P0014,C0014,2025-01-29,2899.44,0.358
P0015,C0015,2025-10-18,1354.08,0.25
P0016,C0016,2025-07-22,4665.39,0.673
P0017,C0017,2025-03-13,10540.82,0.186
P0018,C0018,2025-10-27,819.04,0.3
P0019,C0019,2025-03-12,1532.54,0.394
P0020,C0020,2025-02-26,2030.79,0.095
P0021,C0021,2025-11-02,1055.65,0.696
P0022,C0022,2025-09-28,671.97,0.996
P0023,C0023,2025-12-15,846.35,0.945
P0024,C0024,2025-05-17,5829.51,0.56
P0025,C0025,2025-03-22,3746.27,0.329
P0026,C0026,2025-05-15,425.36,0.882
P0027,C0027,2025-11-24,2024.89,0.644
P0028,C0028,2025-03-24,2027.93,0.405
P0029,C0029,2025-01-01,2629.77,0.554
P0030,C0030,2025-07-05,2693.85,0.156
P0031,C0031,2025-02-10,1457.58,0.884
P0032,C0032,2025-09-30,575.59,0.116
P0033,C0033,2025-10-09,3199.99,0.502
P0034,C0034,2025-04-19,668.7,0.626
P0035,C0035,2025-12-10,5548.32,0.429
P0036,C0036,2025-03-03,3016.44,0.542
P0037,C0037,2025-10-11,1318.36,0.07
P0038,C0038,2025-11-20,1171.01,0.117
P0039,C0039,2025-05-23,678.22,0.538
P0040,C0040,2025-10-20,2785.08,0.176
P0041,C0041,2025-07-28,2334.24,0.499
P0042,C0042,2025-08-05,1176.97,0.459
P0043,C0043,2025-12-01,729.22,0.101
P0044,C0044,2025-05-08,1591.51,0.869
P0045,C0045,2025-04-04,715.6,0.183
P0046,C0046,2025-08-15,1266.77,0.927
P0047,C0047,2025-01-08,335.39,0.564
P0048,C0048,2025-04-20,3811.5,0.511
P0049,C0049,2025-05-27,199.85,0.796
P0050,C0050,2025-10-12,123.33,0.996
P0051,C0051,2025-04-22,3251.5,0.23
P0052,C0052,2025-10-27,2587.64,0.104
P0053,C0053,2025-01-30,1281.04,0.555
P0054,C0054,2025-05-01,603.15,0.691
P0055,C0055,2025-10-24,156.99,0.591
P0056,C0056,2025-10-26,2931.93,0.448
P0057,C0057,2025-12-09,2315.35,0.298
P0058,C0058,2025-12-10,3097.79,0.426
P0059,C0059,2025-02-07,3022.65,0.933
P0060,C0060,2025-09-17,2226.23,0.561
