claim_id,fecha,zona,paid_loss,incurred_loss,exposure
C0001,2025-06-13,sur,1906.17,2192.10,0.440
C0002,2025-12-03,sur,2812.68,3234.58,0.791
C0003,2025-04-15,centro,2552.74,2935.65,0.205
C0004,2025-11-28,norte,1044.21,1200.84,0.473
C0005,2025-01-13,norte,671.87,772.65,0.784
C0006,2025-08-02,norte,21306.08,24501.99,0.623
C0007,2025-08-08,centro,1650.49,1898.06,0.266
C0008,2025-04-04,centro,1412.90,1624.83,0.275
C0009,2025-09-21,sur,524.70,603.40,0.528
C0010,2025-07-07,sur,1280.56,1472.64,0.519
C0011,2025-01-14,sur,2236.03,2571.44,0.801
C0012,2025-12-20,norte,426.92,490.96,0.082
C0013,2025-02-04,norte,995.83,1145.21,0.430
C0014,2025-04-25,centro,2718.48,3126.26,0.166
C0015,2025-02-15,sur,2190.48,2519.06,0.946
C0016,2025-02-02,norte,826.37,950.33,0.815
C0017,2025-06-20,centro,1481.82,1704.09,0.792
C0018,2025-06-06,sur,1158.36,1332.11,0.661
C0019,2025-12-09,centro,2357.69,2711.35,0.823
C0020,2025-02-26,sur,3949.28,4541.67,0.791
C0021,2025-07-18,centro,3101.69,3566.94,0.938
C0022,2025-05-14,norte,2848.28,3275.52,0.369
C0023,2025-11-12,centro,1153.83,1326.90,0.431
C0024,2025-03-23,sur,679.85,781.83,0.230
C0025,2025-04-12,sur,1446.21,1663.14,0.776
C0026,2025-12-09,sur,1180.98,1358.12,0.969
C0027,2025-12-20,centro,852.24,980.08,0.624
C0028,2025-05-28,norte,3936.79,4527.30,0.344
C0029,2025-05-01,centro,1482.88,1705.32,0.258
C0030,2025-06-12,centro,5513.34,6340.34,0.083
C0031,2025-08-01,norte,401.12,461.29,0.364
C0032,2025-12-07,sur,2374.41,2730.57,0.168
C0033,2025-01-08,sur,8634.58,9929.77,0.089
C0034,2025-06-04,norte,1385.89,1593.78,0.781
C0035,2025-05-14,centro,1893.86,2177.94,0.584
C0036,2025-02-01,centro,736.19,846.62,0.287
C0037,2025-01-15,norte,2061.17,2370.34,0.925
C0038,2025-01-21,norte,1631.08,1875.74,0.974
C0039,2025-10-15,norte,456.72,525.22,0.845
C0040,2025-05-12,sur,807.64,928.78,0.190
C0041,2025-07-18,sur,6602.60,7592.99,0.734
C0042,2025-01-28,centro,894.79,1029.00,0.225
C0043,2025-08-08,norte,4930.80,5670.42,0.052
C0044,2025-10-19,norte,5152.75,5925.66,0.498
C0045,2025-06-08,norte,1215.62,1397.96,0.484
C0046,2025-09-13,norte,859.39,988.30,0.848
C0047,2025-01-03,centro,920.48,1058.55,0.880
C0048,2025-09-02,sur,677.83,779.50,0.390
C0049,2025-06-07,norte,1966.43,2261.40,0.347
C0050,2025-07-23,norte,292.12,335.94,0.526
C0051,2025-02-22,norte,7105.89,8171.78,0.945
C0052,2025-01-13,sur,971.08,1116.74,0.366
C0053,2025-07-25,sur,4112.22,4729.06,0.263
C0054,2025-03-19,centro,690.11,793.62,0.577
C0055,2025-03-11,sur,3722.26,4280.60,0.808
C0056,2025-03-01,centro,5970.97,6866.61,0.230
C0057,2025-12-05,sur,2045.75,2352.62,0.854
C0058,2025-06-01,norte,9988.84,11487.17,0.201
C0059,2025-02-15,norte,8939.58,10280.52,0.869
C0060,2025-05-27,norte,2137.51,2458.13,0.513
C0061,2025-02-23,centro,695.25,799.54,0.872
C0062,2025-05-04,centro,929.95,1069.44,0.223
C0063,2025-02-02,norte,1296.00,1490.39,0.121
C0064,2025-03-18,centro,7277.15,8368.72,0.132
C0065,2025-04-25,centro,2505.71,2881.57,0.505
C0066,2025-12-21,sur,381.68,438.94,0.664
C0067,2025-11-08,norte,422.89,486.32,0.399
C0068,2025-01-17,norte,4314.25,4961.39,0.428
C0069,2025-04-22,sur,3164.96,3639.71,0.708
C0070,2025-11-12,norte,3241.68,3727.93,0.104
C0071,2025-02-07,norte,2725.88,3134.76,0.258
C0072,2025-02-15,centro,8262.34,9501.69,0.661
C0073,2025-04-25,centro,1201.72,1381.98,0.192
C0074,2025-05-08,sur,4258.88,4897.71,0.234
C0075,2025-08-13,norte,856.04,984.45,0.195
C0076,2025-07-20,sur,2200.71,2530.82,0.667
C0077,2025-05-07,norte,2147.96,2470.15,0.713
C0078,2025-04-01,centro,2164.95,2489.70,0.257
C0079,2025-04-21,centro,3326.38,3825.33,0.898
C0080,2025-10-07,norte,5567.45,6402.56,0.228
C0081,2025-09-10,sur,12420.90,14284.04,0.761
C0082,2025-12-23,centro,6893.26,7927.24,0.707
C0083,2025-09-26,sur,3644.17,4190.80,0.474
C0084,2025-12-13,norte,6051.20,6958.88,0.526
C0085,2025-04-15,centro,9018.05,10370.76,0.460
C0086,2025-03-08,centro,2778.64,3195.44,0.258
C0087,2025-06-18,centro,3243.04,3729.50,0.991
C0088,2025-09-16,norte,5641.27,6487.45,0.359
C0089,2025-07-08,sur,2305.22,2651.00,0.346
C0090,2025-11-22,norte,20804.87,23925.60,0.931
C0091,2025-09-08,centro,1804.08,2074.69,0.478
C0092,2025-02-17,norte,1753.35,2016.35,0.938
C0093,2025-08-25,centro,1220.24,1403.28,0.752
C0094,2025-10-25,sur,4079.22,4691.10,0.070
C0095,2025-12-05,sur,1072.80,1233.72,0.421
C0096,2025-10-06,sur,4343.80,4995.37,0.183
C0097,2025-10-25,centro,4915.78,5653.15,0.262
C0098,2025-10-12,norte,1829.05,2103.41,0.723
C0099,2025-07-22,norte,16032.08,18436.89,0.738
C0100,2025-02-09,norte,916.78,1054.29,0.649
C0101,2025-03-20,norte,5032.48,5787.35,0.643
C0102,2025-04-24,sur,1818.12,2090.84,0.638
C0103,2025-03-21,norte,2170.47,2496.03,0.618
C0104,2025-03-08,sur,4927.10,5666.17,0.252
C0105,2025-09-06,norte,301.04,346.20,0.606
C0106,2025-09-09,sur,3090.04,3553.54,0.843
C0107,2025-08-21,sur,3898.18,4482.91,0.474
C0108,2025-04-11,sur,522.70,601.10,0.222
C0109,2025-05-17,sur,599.08,688.94,0.302
C0110,2025-03-13,centro,1972.58,2268.46,0.615
