loss_amount,exposure
,NA
9454.18,0.733
2905.69,0.369
3129.71,0.964
477.34,0.391
3992.39,0.278
4249.07,0.851
3856.37,0.646
630.33,0.864
490.08,0.228
1125.16,0.995
1428.67,0.814
3898.26,0.674
493.94,0.959
6563.79,0.398
923.35,0.890
5798.90,0.769
,0.129
2731.88,0.191
1419.66,0.644
694.30,0.786
2416.56,0.157
2218.06,0.398
7212.62,NA
3289.50,0.971
1264.67,0.609
510.95,0.707
180.83,0.554
994.29,0.863
4173.94,0.749
1384.21,0.328
28262.89,0.590
783.94,0.274
463.29,0.690
,0.719
3611.66,0.140
5980.56,0.839
2394.02,0.514
2048.07,0.520
3051.14,0.927
1262.13,0.432
2039.52,0.161
1271.97,0.828
619.53,0.396
802.41,0.927
2164.39,0.657
3323.06,NA
2353.96,0.129
2067.61,0.496
1478.44,0.640
1444.71,0.452
,0.508
1276.78,0.108
5789.12,0.879
273.03,0.725
3277.20,0.638
2276.50,0.573
1749.38,0.364
11983.59,0.203
1782.67,0.757
15147.59,0.899
3339.27,0.217
1101.91,0.311
4211.21,0.700
2235.15,0.419
6958.89,0.366
1029.86,0.351
2313.82,0.634
,0.821
9469.53,NA
1102.62,0.219
1966.71,0.124
3320.66,0.260
886.93,0.333
2075.11,0.730
1658.85,0.877
4649.09,0.372
3344.95,0.589
9887.46,0.849
25145.36,0.359
2878.97,0.412
1739.55,0.151
431.69,0.594
3133.88,0.205
2760.52,0.545
,0.967
8341.75,0.941
1753.32,0.612
3494.03,0.337
2663.66,0.957
3583.60,0.160
1689.16,0.489
3910.25,NA
2471.93,0.414
813.09,0.273
7038.95,0.530
716.92,0.268
487.37,0.647
842.77,0.204
9670.37,0.655
4166.34,0.375
8486.45,0.363
,0.741
7575.89,0.611
1438.20,0.200
1338.62,0.106
1648.66,0.462
2267.39,0.284
153.92,0.151
5039.78,0.606
2508.27,0.291
1166.16,0.543
7014.19,0.215
409.75,0.389
2219.89,0.546
2002.75,NA
1536.68,0.656
2448.64,0.743
12447.98,0.868
,0.240
