Importe Siniestro (€),Nº Póliza,Exposición media
1906.17,1,0.440
2812.68,2,0.791
2552.74,3,0.205
1044.21,4,0.473
671.87,5,0.784
21306.08,6,0.623
1650.49,7,0.266
1412.90,8,0.275
524.70,9,0.528
1280.56,10,0.519
2236.03,11,0.801
426.92,12,0.082
995.83,13,0.430
2718.48,14,0.166
2190.48,15,0.946
826.37,16,0.815
1481.82,17,0.792
1158.36,18,0.661
2357.69,19,0.823
3949.28,20,0.791
3101.69,21,0.938
2848.28,22,0.369
1153.83,23,0.431
679.85,24,0.230
1446.21,25,0.776
1180.98,26,0.969
852.24,27,0.624
3936.79,28,0.344
1482.88,29,0.258
5513.34,30,0.083
401.12,31,0.364
2374.41,32,0.168
8634.58,33,0.089
1385.89,34,0.781
1893.86,35,0.584
736.19,36,0.287
2061.17,37,0.925
1631.08,38,0.974
456.72,39,0.845
807.64,40,0.190
6602.60,41,0.734
894.79,42,0.225
4930.80,43,0.052
5152.75,44,0.498
1215.62,45,0.484
859.39,46,0.848
920.48,47,0.880
677.83,48,0.390
1966.43,49,0.347
292.12,50,0.526
7105.89,51,0.945
971.08,52,0.366
4112.22,53,0.263
690.11,54,0.577
3722.26,55,0.808
5970.97,56,0.230
2045.75,57,0.854
9988.84,58,0.201
8939.58,59,0.869
2137.51,60,0.513
695.25,61,0.872
929.95,62,0.223
1296.00,63,0.121
7277.15,64,0.132
2505.71,65,0.505
381.68,66,0.664
422.89,67,0.399
4314.25,68,0.428
3164.96,69,0.708
3241.68,70,0.104
2725.88,71,0.258
8262.34,72,0.661
1201.72,73,0.192
4258.88,74,0.234
856.04,75,0.195
2200.71,76,0.667
2147.96,77,0.713
2164.95,78,0.257
3326.38,79,0.898
5567.45,80,0.228
12420.90,81,0.761
6893.26,82,0.707
3644.17,83,0.474
6051.20,84,0.526
9018.05,85,0.460
2778.64,86,0.258
3243.04,87,0.991
5641.27,88,0.359
2305.22,89,0.346
20804.87,90,0.931
1804.08,91,0.478
1753.35,92,0.938
1220.24,93,0.752
4079.22,94,0.070
1072.80,95,0.421
4343.80,96,0.183
4915.78,97,0.262
1829.05,98,0.723
16032.08,99,0.738
916.78,100,0.649
5032.48,101,0.643
1818.12,102,0.638
2170.47,103,0.618
4927.10,104,0.252
301.04,105,0.606
3090.04,106,0.843
3898.18,107,0.474
522.70,108,0.222
599.08,109,0.302
1972.58,110,0.615
399.09,111,0.181
95.54,112,0.587
1402.04,113,0.764
2603.05,114,0.518
3781.39,115,0.336
1764.81,116,0.097
4550.64,117,0.099
8028.84,118,0.345
6748.79,119,0.143
1242.26,120,0.343
2047.37,121,0.221
3160.75,122,0.562
1162.28,123,0.264
3248.59,124,0.287
3531.90,125,0.553
452.90,126,0.145
2514.90,127,0.873
1035.56,128,0.274
2428.90,129,0.404
7291.82,130,0.426
3510.54,131,0.926
832.44,132,0.630
779.01,133,0.994
1721.02,134,0.792
3472.88,135,0.268
879.23,136,0.961
1843.29,137,0.360
3024.95,138,0.176
956.07,139,0.944
2512.09,140,0.925
2247.57,141,0.698
3192.11,142,0.455
1885.04,143,0.359
857.72,144,0.231
3686.86,145,0.207
922.48,146,0.287
447.88,147,0.422
3514.36,148,0.311
964.96,149,0.467
2255.04,150,0.981
9624.19,151,0.257
833.76,152,0.110
1448.12,153,0.303
689.24,154,0.628
444.10,155,0.381
5509.57,156,0.292
1294.54,157,0.597
4844.22,158,0.725
2367.37,159,0.900
3108.62,160,0.629
4732.20,161,0.543
1139.15,162,0.431
314.85,163,0.312
637.38,164,0.353
787.44,165,0.055
924.68,166,0.206
13521.12,167,0.407
3918.75,168,0.155
5506.64,169,0.858
869.92,170,0.718
728.69,171,0.570
1998.43,172,0.524
1288.98,173,0.949
5136.82,174,0.538
761.15,175,0.938
1356.70,176,0.493
1472.20,177,0.923
2715.34,178,0.101
2808.39,179,0.170
764.68,180,0.535
