policy_id,zona,ramo
P0000,norte,auto
P0001,sur,hogar
P0002,norte,hogar
P0003,norte,auto
P0004,sur,auto
P0005,sur,auto
P0006,norte,auto
P0007,norte,hogar
P0008,norte,hogar
P0009,norte,hogar
P0010,norte,auto
P0011,norte,auto
P0012,norte,hogar
P0013,norte,hogar
P0014,norte,auto
P0015,norte,auto
P0016,norte,auto
P0017,norte,hogar
P0018,norte,auto
P0019,sur,auto
P0020,norte,auto
P0021,sur,auto
P0022,sur,hogar
P0023,sur,auto
P0024,sur,auto
P0025,sur,auto
P0026,norte,hogar
P0027,norte,auto
P0028,norte,auto
P0029,norte,hogar
P0030,sur,hogar
P0031,norte,hogar
P0032,sur,hogar
P0033,norte,hogar
P0034,sur,hogar
P0035,sur,auto
P0036,norte,hogar
P0037,norte,hogar
P0038,norte,auto
P0039,sur,hogar
P0040,sur,auto
P0041,norte,hogar
P0042,norte,hogar
P0043,norte,hogar
P0044,sur,hogar
P0045,sur,auto
P0046,norte,hogar
P0047,norte,auto
P0048,norte,auto
P0049,sur,auto
P0050,norte,hogar
P0051,norte,hogar
P0052,norte,auto
P0053,sur,hogar
P0054,norte,auto
P0055,sur,auto
P0056,norte,auto
P0057,sur,auto
P0058,norte,hogar
P0059,norte,auto
