importe	exposicion
1906.17	0.440
2812.68	0.791
2552.74	0.205
1044.21	0.473
671.87	0.784
21306.08	0.623
1650.49	0.266
1412.90	0.275
524.70	0.528
1280.56	0.519
2236.03	0.801
426.92	0.082
995.83	0.430
2718.48	0.166
2190.48	0.946
826.37	0.815
1481.82	0.792
1158.36	0.661
2357.69	0.823
3949.28	0.791
3101.69	0.938
2848.28	0.369
1153.83	0.431
679.85	0.230
1446.21	0.776
1180.98	0.969
852.24	0.624
3936.79	0.344
1482.88	0.258
5513.34	0.083
401.12	0.364
2374.41	0.168
8634.58	0.089
1385.89	0.781
1893.86	0.584
736.19	0.287
2061.17	0.925
1631.08	0.974
456.72	0.845
807.64	0.190
6602.60	0.734
894.79	0.225
4930.80	0.052
5152.75	0.498
1215.62	0.484
859.39	0.848
920.48	0.880
677.83	0.390
1966.43	0.347
292.12	0.526
7105.89	0.945
971.08	0.366
4112.22	0.263
690.11	0.577
3722.26	0.808
5970.97	0.230
2045.75	0.854
9988.84	0.201
8939.58	0.869
2137.51	0.513
695.25	0.872
929.95	0.223
1296.00	0.121
7277.15	0.132
2505.71	0.505
381.68	0.664
422.89	0.399
4314.25	0.428
3164.96	0.708
3241.68	0.104
2725.88	0.258
8262.34	0.661
1201.72	0.192
4258.88	0.234
856.04	0.195
2200.71	0.667
2147.96	0.713
2164.95	0.257
3326.38	0.898
5567.45	0.228
12420.90	0.761
6893.26	0.707
3644.17	0.474
6051.20	0.526
9018.05	0.460
2778.64	0.258
3243.04	0.991
5641.27	0.359
2305.22	0.346
20804.87	0.931
1804.08	0.478
1753.35	0.938
1220.24	0.752
4079.22	0.070
1072.80	0.421
4343.80	0.183
4915.78	0.262
1829.05	0.723
16032.08	0.738
916.78	0.649
5032.48	0.643
1818.12	0.638
2170.47	0.618
4927.10	0.252
301.04	0.606
3090.04	0.843
3898.18	0.474
522.70	0.222
599.08	0.302
1972.58	0.615
399.09	0.181
95.54	0.587
1402.04	0.764
2603.05	0.518
3781.39	0.336
1764.81	0.097
4550.64	0.099
8028.84	0.345
6748.79	0.143
1242.26	0.343
2047.37	0.221
3160.75	0.562
1162.28	0.264
3248.59	0.287
3531.90	0.553
452.90	0.145
2514.90	0.873
1035.56	0.274
2428.90	0.404
7291.82	0.426
3510.54	0.926
832.44	0.630
779.01	0.994
1721.02	0.792
3472.88	0.268
879.23	0.961
1843.29	0.360
3024.95	0.176
956.07	0.944
2512.09	0.925
2247.57	0.698
3192.11	0.455
1885.04	0.359
857.72	0.231
3686.86	0.207
922.48	0.287
447.88	0.422
3514.36	0.311
964.96	0.467
2255.04	0.981
9624.19	0.257
833.76	0.110
1448.12	0.303
689.24	0.628
444.10	0.381
5509.57	0.292
1294.54	0.597
4844.22	0.725
2367.37	0.900
3108.62	0.629
4732.20	0.543
1139.15	0.431
314.85	0.312
637.38	0.353
787.44	0.055
924.68	0.206
13521.12	0.407
3918.75	0.155
5506.64	0.858
869.92	0.718
728.69	0.570
1998.43	0.524
1288.98	0.949
5136.82	0.538
761.15	0.938
1356.70	0.493
1472.20	0.923
2715.34	0.101
2808.39	0.170
764.68	0.535
