"dist","scenario","n","rep","scheme","k","ref_kind","valid","reason","J_fro_rel","var_rel_err_max","se_rel_err_max","cov_offdiag_abs_err","chol_ok","rcond","asym","eig_min","eig_max","n_eval","secs"
"exponential","rate_1",100,1,"A",1,"observed",TRUE,NA,4.76837158203125e-08,4.76837134866424e-08,2.38418570055492e-08,NA,TRUE,1,0,100.000004768372,100.000004768372,3,0.021
"exponential","rate_1",100,1,"B",1,"observed",TRUE,NA,6.54886371904695e-07,6.54885942843495e-07,3.27443024999098e-07,NA,TRUE,1,0,100.000065488637,100.000065488637,3,0.001
"exponential","rate_1",100,1,"C_richardson",1,"observed",TRUE,NA,2.38418579101562e-07,2.38418521979956e-07,1.19209268065256e-07,NA,TRUE,1,0,100.000023841858,100.000023841858,6,0
"exponential","rate_1",100,2,"A",1,"observed",TRUE,NA,3.814697265625e-08,3.8146971094918e-08,1.90734858162096e-08,NA,TRUE,1,0,100.000003814697,100.000003814697,3,0
"exponential","rate_1",100,2,"B",1,"observed",TRUE,NA,6.54886371904695e-07,6.54885943216488e-07,3.27443025336222e-07,NA,TRUE,1,0,100.000065488637,100.000065488637,3,0
"exponential","rate_1",100,2,"C_richardson",1,"observed",TRUE,NA,3.814697265625e-08,3.8146971094918e-08,1.90734858162096e-08,NA,TRUE,1,0,100.000003814697,100.000003814697,6,0
"exponential","rate_1",100,3,"A",1,"observed",TRUE,NA,5.7220458984375e-08,5.72204554289101e-08,2.8610228162987e-08,NA,TRUE,1,0,100.000005722046,100.000005722046,3,0
"exponential","rate_1",100,3,"B",1,"observed",TRUE,NA,8.40586807100863e-06,8.40579741312752e-06,4.20290753873285e-06,NA,TRUE,1,0,100.000840586807,100.000840586807,3,0.001
"exponential","rate_1",100,3,"C_richardson",1,"observed",TRUE,NA,1.84377034457839e-07,1.84377000669333e-07,9.21885046134991e-08,NA,TRUE,1,0,100.000018437703,100.000018437703,6,0
"exponential","rate_1",1000,1,"A",1,"observed",TRUE,NA,3.0517578125e-08,3.05175772160477e-08,1.52587888087488e-08,NA,TRUE,1,0,1000.00003051758,1000.00003051758,3,0
