"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"exponential","rate_1",100,1,"A",1,1,"J_u[1,1]",100,100.000004768372,4.76837158203125e-08,"rel"
"exponential","rate_1",100,1,"B",1,1,"J_u[1,1]",100,100.000065488637,6.54886371904695e-07,"rel"
"exponential","rate_1",100,1,"C_richardson",1,1,"J_u[1,1]",100,100.000023841858,2.38418579101562e-07,"rel"
"exponential","rate_1",100,2,"A",1,1,"J_u[1,1]",100,100.000003814697,3.814697265625e-08,"rel"
"exponential","rate_1",100,2,"B",1,1,"J_u[1,1]",100,100.000065488637,6.54886371904695e-07,"rel"
"exponential","rate_1",100,2,"C_richardson",1,1,"J_u[1,1]",100,100.000003814697,3.814697265625e-08,"rel"
"exponential","rate_1",100,3,"A",1,1,"J_u[1,1]",100,100.000005722046,5.7220458984375e-08,"rel"
"exponential","rate_1",100,3,"B",1,1,"J_u[1,1]",100,100.000840586807,8.40586807100863e-06,"rel"
"exponential","rate_1",100,3,"C_richardson",1,1,"J_u[1,1]",100,100.000018437703,1.84377034457839e-07,"rel"
"exponential","rate_1",1000,1,"A",1,1,"J_u[1,1]",1000,1000.00003051758,3.0517578125e-08,"rel"
"exponential","rate_1",1000,1,"B",1,1,"J_u[1,1]",1000,1000.06886352532,6.88635253236498e-05,"rel"
"exponential","rate_1",1000,1,"C_richardson",1,1,"J_u[1,1]",1000,1000.00015258789,1.52587890625e-07,"rel"
"exponential","rate_1",1000,2,"A",1,1,"J_u[1,1]",1000,1000.00016784668,1.678466796875e-07,"rel"
"exponential","rate_1",1000,2,"B",1,1,"J_u[1,1]",1000,1000.04716077657,4.71607765663293e-05,"rel"
"exponential","rate_1",1000,2,"C_richardson",1,1,"J_u[1,1]",1000,1000.00059509277,5.950927734375e-07,"rel"
"exponential","rate_1",1000,3,"A",1,1,"J_u[1,1]",1000,999.999900817871,9.918212890625e-08,"rel"
"exponential","rate_1",1000,3,"B",1,1,"J_u[1,1]",1000,1000.00995606441,9.95606441074415e-06,"rel"
"exponential","rate_1",1000,3,"C_richardson",1,1,"J_u[1,1]",1000,1000.00023651123,2.3651123046875e-07,"rel"
"exponential","rate_1",10000,1,"A",1,1,"J_u[1,1]",10000,10000.0041503906,4.150390625e-07,"rel"
"exponential","rate_1",10000,1,"B",1,1,"J_u[1,1]",10000,10000.8250525311,8.2505253113959e-05,"rel"
"exponential","rate_1",10000,1,"C_richardson",1,1,"J_u[1,1]",10000,9999.96866861979,3.13313802089397e-06,"rel"
"exponential","rate_1",10000,2,"A",1,1,"J_u[1,1]",10000,9999.9990234375,9.765625e-08,"rel"
"exponential","rate_1",10000,2,"B",1,1,"J_u[1,1]",10000,9999.13843891342,8.6156108657633e-05,"rel"
"exponential","rate_1",10000,2,"C_richardson",1,1,"J_u[1,1]",10000,9999.9912109375,8.7890625e-07,"rel"
"exponential","rate_1",10000,3,"A",1,1,"J_u[1,1]",10000,10000.0052490234,5.2490234375e-07,"rel"
"exponential","rate_1",10000,3,"B",1,1,"J_u[1,1]",10000,10001.9163907544,0.000191639075436797,"rel"
"exponential","rate_1",10000,3,"C_richardson",1,1,"J_u[1,1]",10000,10000.0327555339,3.27555338535603e-06,"rel"
"exponential","rate_pequeno",100,1,"A",1,1,"J_u[1,1]",100,100.000005510814,5.51081352284655e-08,"rel"
"exponential","rate_pequeno",100,1,"B",1,1,"J_u[1,1]",100,99.9998294080105,1.70591989459012e-06,"rel"
"exponential","rate_pequeno",100,1,"C_richardson",1,1,"J_u[1,1]",100,99.9999976945662,2.30543378165748e-08,"rel"
"exponential","rate_pequeno",100,2,"A",1,1,"J_u[1,1]",100,100.000005750488,5.75048768780562e-08,"rel"
"exponential","rate_pequeno",100,2,"B",1,1,"J_u[1,1]",100,100.000367646117,3.67646117084064e-06,"rel"
"exponential","rate_pequeno",100,2,"C_richardson",1,1,"J_u[1,1]",100,99.9999975762465,2.42375348591395e-08,"rel"
"exponential","rate_pequeno",100,3,"A",1,1,"J_u[1,1]",100,100.000005743899,5.74389913765572e-08,"rel"
"exponential","rate_pequeno",100,3,"B",1,1,"J_u[1,1]",100,99.9997951762363,2.04823763738204e-06,"rel"
"exponential","rate_pequeno",100,3,"C_richardson",1,1,"J_u[1,1]",100,100.000000334133,3.34133076762555e-09,"rel"
"exponential","rate_pequeno",1000,1,"A",1,1,"J_u[1,1]",1000,1000.00003734898,3.73489805269855e-08,"rel"
"exponential","rate_pequeno",1000,1,"B",1,1,"J_u[1,1]",1000,999.99950262592,4.97374080396185e-07,"rel"
"exponential","rate_pequeno",1000,1,"C_richardson",1,1,"J_u[1,1]",1000,1000.00002358476,2.35847593330618e-08,"rel"
"exponential","rate_pequeno",1000,2,"A",1,1,"J_u[1,1]",1000,1000.0001044029,1.04402898841727e-07,"rel"
"exponential","rate_pequeno",1000,2,"B",1,1,"J_u[1,1]",1000,1000.00421731174,4.21731174037632e-06,"rel"
"exponential","rate_pequeno",1000,2,"C_richardson",1,1,"J_u[1,1]",1000,1000.00003593662,3.59366176780895e-08,"rel"
"exponential","rate_pequeno",1000,3,"A",1,1,"J_u[1,1]",1000,1000.0000412107,4.12107027614184e-08,"rel"
"exponential","rate_pequeno",1000,3,"B",1,1,"J_u[1,1]",1000,999.990384596584,9.61540341597811e-06,"rel"
"exponential","rate_pequeno",1000,3,"C_richardson",1,1,"J_u[1,1]",1000,1000.00002090966,2.09096560865873e-08,"rel"
"exponential","rate_pequeno",10000,1,"A",1,1,"J_u[1,1]",10000,10000.0024512099,2.45120987347036e-07,"rel"
"exponential","rate_pequeno",10000,1,"B",1,1,"J_u[1,1]",10000,10000.3768421343,3.76842134310209e-05,"rel"
