"dist","scenario","n","c_step","log10_c","valid","J_fro_rel"
"exponential","rate_1",100,1e-09,-9,TRUE,851.65128291212
"exponential","rate_1",100,3.16227766016838e-09,-8.5,TRUE,55.843418860808
"exponential","rate_1",100,1e-08,-8,TRUE,6.105427357601
"exponential","rate_1",100,3.16227766016838e-08,-7.5,TRUE,0.13686837721616
"exponential","rate_1",100,1e-07,-7,TRUE,0.0478727340814656
"exponential","rate_1",100,3.16227766016838e-07,-6.5,TRUE,0.0023979989928192
"exponential","rate_1",100,1e-06,-6,TRUE,0.000728389044525102
"exponential","rate_1",100,3.16227766016838e-06,-5.5,TRUE,1.78463087650016e-05
"exponential","rate_1",100,1e-05,-5,TRUE,3.63545404965748e-06
"exponential","rate_1",100,3.16227766016838e-05,-4.5,TRUE,3.6695746530313e-07
"exponential","rate_1",100,1e-04,-4,TRUE,1.16860974230804e-08
"exponential","rate_1",100,0.000316227766016838,-3.5,TRUE,8.84392633793141e-09
"exponential","rate_1",100,0.001,-3,TRUE,8.31666966405464e-08
"exponential","rate_1",100,0.00316227766016838,-2.5,TRUE,8.33343506059236e-07
"exponential","rate_1",100,0.01,-2,TRUE,8.33337077210672e-06
"exponential","rate_1",1000,1e-09,-9,TRUE,910.494701772928
"exponential","rate_1",1000,3.16227766016838e-09,-8.5,TRUE,46.4747350886464
"exponential","rate_1",1000,1e-08,-8,TRUE,5.82121026329696
"exponential","rate_1",1000,3.16227766016838e-08,-7.5,TRUE,0.772626324556768
"exponential","rate_1",1000,1e-07,-7,TRUE,0.135980033315718
"exponential","rate_1",1000,3.16227766016838e-07,-6.5,TRUE,0.00499164545908582
"exponential","rate_1",1000,1e-06,-6,TRUE,0.00135366665199399
"exponential","rate_1",1000,3.16227766016838e-06,-5.5,TRUE,3.33127682096119e-05
"exponential","rate_1",1000,1e-05,-5,TRUE,8.30166391108378e-06
"exponential","rate_1",1000,3.16227766016838e-05,-4.5,TRUE,2.61227251019136e-06
"exponential","rate_1",1000,1e-04,-4,TRUE,2.02126102522016e-08
"exponential","rate_1",1000,0.000316227766016838,-3.5,TRUE,2.02271610305615e-09
"exponential","rate_1",1000,0.001,-3,TRUE,8.22856236482039e-08
"exponential","rate_1",1000,0.00316227766016838,-2.5,TRUE,8.33414560361234e-07
"exponential","rate_1",1000,0.01,-2,TRUE,8.33335343486397e-06
"exponential","rate_1",10000,1e-09,-9,TRUE,4366.57456851006
"exponential","rate_1",10000,3.16227766016838e-09,-8.5,TRUE,128.32925824821
"exponential","rate_1",10000,1e-08,-8,TRUE,31.9228198602796
"exponential","rate_1",10000,3.16227766016838e-08,-7.5,TRUE,1.54569682106376
"exponential","rate_1",10000,1e-07,-7,TRUE,0.254214344546199
"exponential","rate_1",10000,3.16227766016838e-07,-6.5,TRUE,0.0814103512093425
"exponential","rate_1",10000,1e-06,-6,TRUE,0.00592229096218944
"exponential","rate_1",10000,3.16227766016838e-06,-5.5,TRUE,0.000792740844190121
"exponential","rate_1",10000,1e-05,-5,TRUE,9.43348277342011e-06
"exponential","rate_1",10000,3.16227766016838e-05,-4.5,TRUE,4.57273563370109e-06
"exponential","rate_1",10000,1e-04,-4,TRUE,2.79920641332865e-07
"exponential","rate_1",10000,0.000316227766016838,-3.5,TRUE,9.43837221711874e-08
"exponential","rate_1",10000,0.001,-3,TRUE,8.00573616288602e-08
"exponential","rate_1",10000,0.00316227766016838,-2.5,TRUE,8.32991645438597e-07
"exponential","rate_1",10000,0.01,-2,TRUE,8.33327794680372e-06
"exponential","rate_pequeno",100,1e-09,-9,TRUE,140.654114643179
"exponential","rate_pequeno",100,3.16227766016838e-09,-8.5,TRUE,1.36090191071966
"exponential","rate_pequeno",100,1e-08,-8,TRUE,0.416541146431793
"exponential","rate_pequeno",100,3.16227766016838e-08,-7.5,TRUE,0.0624058598238452
"exponential","rate_pequeno",100,1e-07,-7,TRUE,0.00133849176558584
"exponential","rate_pequeno",100,3.16227766016838e-07,-6.5,TRUE,0.00086631138344174
"exponential","rate_pequeno",100,1e-06,-6,TRUE,7.22232352458718e-06
"exponential","rate_pequeno",100,3.16227766016838e-06,-5.5,TRUE,2.22128411820677e-06
"exponential","rate_pequeno",100,1e-05,-5,TRUE,5.68652780970069e-07
"exponential","rate_pequeno",100,3.16227766016838e-05,-4.5,TRUE,7.28633798985356e-08
"exponential","rate_pequeno",100,1e-04,-4,TRUE,4.28208142011499e-08
"exponential","rate_pequeno",100,0.000316227766016838,-3.5,TRUE,4.01913994494407e-07
"exponential","rate_pequeno",100,0.001,-3,TRUE,4.01284263986668e-06
"exponential","rate_pequeno",100,0.00316227766016838,-2.5,TRUE,4.01289780701575e-05
"exponential","rate_pequeno",100,0.01,-2,TRUE,0.000401347633115563
"exponential","rate_pequeno",1000,1e-09,-9,TRUE,39.4567895582844
"exponential","rate_pequeno",1000,3.16227766016838e-09,-8.5,TRUE,6.76851843374266
"exponential","rate_pequeno",1000,1e-08,-8,TRUE,2.7305555301228
"exponential","rate_pequeno",1000,3.16227766016838e-08,-7.5,TRUE,0.192407419276027
"exponential","rate_pequeno",1000,1e-07,-7,TRUE,0.00589198991834724
"exponential","rate_pequeno",1000,3.16227766016838e-07,-6.5,TRUE,0.00358458254485004
"exponential","rate_pequeno",1000,1e-06,-6,TRUE,0.000142699879383827
"exponential","rate_pequeno",1000,3.16227766016838e-06,-5.5,TRUE,6.00177818336078e-05
"exponential","rate_pequeno",1000,1e-05,-5,TRUE,1.94802960049856e-06
"exponential","rate_pequeno",1000,3.16227766016838e-05,-4.5,TRUE,3.32844439185465e-07
"exponential","rate_pequeno",1000,1e-04,-4,TRUE,1.90351853461834e-08
"exponential","rate_pequeno",1000,0.000316227766016838,-3.5,TRUE,3.91873760122507e-07
"exponential","rate_pequeno",1000,0.001,-3,TRUE,3.94135852286581e-06
"exponential","rate_pequeno",1000,0.00316227766016838,-2.5,TRUE,3.94168950723497e-05
"exponential","rate_pequeno",1000,0.01,-2,TRUE,0.000394225189417284
"exponential","rate_pequeno",10000,1e-09,-9,TRUE,880.689944848463
"exponential","rate_pequeno",10000,3.16227766016838e-09,-8.5,TRUE,117.572096031345
"exponential","rate_pequeno",10000,1e-08,-8,TRUE,22.410388190804
"exponential","rate_pequeno",10000,3.16227766016838e-08,-7.5,TRUE,2.61796908403335
"exponential","rate_pequeno",10000,1e-07,-7,TRUE,0.140116307993703
"exponential","rate_pequeno",10000,3.16227766016838e-07,-6.5,TRUE,0.0163756846994535
"exponential","rate_pequeno",10000,1e-06,-6,TRUE,0.000748490504553047
"exponential","rate_pequeno",10000,3.16227766016838e-06,-5.5,TRUE,0.000219476537644186
"exponential","rate_pequeno",10000,1e-05,-5,TRUE,1.45596332202331e-05
"exponential","rate_pequeno",10000,3.16227766016838e-05,-4.5,TRUE,2.0943615862052e-06
"exponential","rate_pequeno",10000,1e-04,-4,TRUE,3.24901076237438e-07
"exponential","rate_pequeno",10000,0.000316227766016838,-3.5,TRUE,4.13678132827044e-07
"exponential","rate_pequeno",10000,0.001,-3,TRUE,3.99063343302259e-06
"exponential","rate_pequeno",10000,0.00316227766016838,-2.5,TRUE,3.98868609558122e-05
"exponential","rate_pequeno",10000,0.01,-2,TRUE,0.000398924149150844
"exponential","rate_grande",100,1e-09,-9,TRUE,145.97645288581
"exponential","rate_grande",100,3.16227766016838e-09,-8.5,TRUE,16.6371743462972
"exponential","rate_grande",100,1e-08,-8,TRUE,1.9395290577162
"exponential","rate_grande",100,3.16227766016838e-08,-7.5,TRUE,0.0876257513549952
"exponential","rate_grande",100,1e-07,-7,TRUE,0.01413752491209
"exponential","rate_grande",100,3.16227766016838e-07,-6.5,TRUE,0.00120359705813854
"exponential","rate_grande",100,1e-06,-6,TRUE,8.6576016206692e-05
"exponential","rate_grande",100,3.16227766016838e-06,-5.5,TRUE,7.20873164823388e-06
"exponential","rate_grande",100,1e-05,-5,TRUE,1.62362643848724e-06
"exponential","rate_grande",100,3.16227766016838e-05,-4.5,TRUE,2.12652490887422e-07
"exponential","rate_grande",100,1e-04,-4,TRUE,4.21598053890193e-08
"exponential","rate_grande",100,0.000316227766016838,-3.5,TRUE,3.23472736312169e-07
"exponential","rate_grande",100,0.001,-3,TRUE,3.22299480345123e-06
"exponential","rate_grande",100,0.00316227766016838,-2.5,TRUE,3.22297531272397e-05
"exponential","rate_grande",100,0.01,-2,TRUE,0.000322334783027713
"exponential","rate_grande",1000,1e-09,-9,TRUE,1
"exponential","rate_grande",1000,3.16227766016838e-09,-8.5,TRUE,29.2743044809685
"exponential","rate_grande",1000,1e-08,-8,TRUE,5.0548608961937
"exponential","rate_grande",1000,3.16227766016838e-08,-7.5,TRUE,0.141108399667274
"exponential","rate_grande",1000,1e-07,-7,TRUE,0.00370963317672431
"exponential","rate_grande",1000,3.16227766016838e-07,-6.5,TRUE,0.00394251244196266
"exponential","rate_grande",1000,1e-06,-6,TRUE,0.000332883830770015
"exponential","rate_grande",1000,3.16227766016838e-06,-5.5,TRUE,2.08256153509865e-05
"exponential","rate_grande",1000,1e-05,-5,TRUE,2.89391192711719e-06
"exponential","rate_grande",1000,3.16227766016838e-05,-4.5,TRUE,9.93607443433575e-08
"exponential","rate_grande",1000,1e-04,-4,TRUE,8.07304031695821e-08
"exponential","rate_grande",1000,0.000316227766016838,-3.5,TRUE,3.22459080848603e-07
"exponential","rate_grande",1000,0.001,-3,TRUE,3.25480492472252e-06
"exponential","rate_grande",1000,0.00316227766016838,-2.5,TRUE,3.25457301322558e-05
"exponential","rate_grande",1000,0.01,-2,TRUE,0.000325495242841953
"exponential","rate_grande",10000,1e-09,-9,TRUE,394.490040057485
"exponential","rate_grande",10000,3.16227766016838e-09,-8.5,TRUE,19.8328590503564
"exponential","rate_grande",10000,1e-08,-8,TRUE,0.435014228489308
"exponential","rate_grande",10000,3.16227766016838e-08,-7.5,TRUE,0.20901991988503
"exponential","rate_grande",10000,1e-07,-7,TRUE,0.112972338728213
"exponential","rate_grande",10000,3.16227766016838e-07,-6.5,TRUE,0.0095799425417561
"exponential","rate_grande",10000,1e-06,-6,TRUE,6.24812920263139e-05
"exponential","rate_grande",10000,3.16227766016838e-06,-5.5,TRUE,4.10994327503431e-05
"exponential","rate_grande",10000,1e-05,-5,TRUE,7.30101500848832e-06
"exponential","rate_grande",10000,3.16227766016838e-05,-4.5,TRUE,3.32857160174171e-07
"exponential","rate_grande",10000,1e-04,-4,TRUE,1.09715027429047e-07
"exponential","rate_grande",10000,0.000316227766016838,-3.5,TRUE,3.17414215714962e-07
"exponential","rate_grande",10000,0.001,-3,TRUE,3.21935063384444e-06
"exponential","rate_grande",10000,0.00316227766016838,-2.5,TRUE,3.21955725024964e-05
"exponential","rate_grande",10000,0.01,-2,TRUE,0.000321994585133689
"poisson","lambda_1",100,1e-09,-9,TRUE,2533.6275730063
"poisson","lambda_1",100,3.16227766016838e-09,-8.5,TRUE,197.982144567156
"poisson","lambda_1",100,1e-08,-8,TRUE,9.44209191002099
"poisson","lambda_1",100,3.16227766016838e-08,-7.5,TRUE,2.12561225466947
"poisson","lambda_1",100,1e-07,-7,TRUE,0.0432295835309541
"poisson","lambda_1",100,3.16227766016838e-07,-6.5,TRUE,0.0291594303475857
"poisson","lambda_1",100,1e-06,-6,TRUE,0.000174914789847144
"poisson","lambda_1",100,3.16227766016838e-06,-5.5,TRUE,0.000287476015314091
"poisson","lambda_1",100,1e-05,-5,TRUE,3.98413192869492e-05
"poisson","lambda_1",100,3.16227766016838e-05,-4.5,TRUE,2.41471181904879e-06
"poisson","lambda_1",100,1e-04,-4,TRUE,1.91627616076592e-07
"poisson","lambda_1",100,0.000316227766016838,-3.5,TRUE,1.71577167435262e-08
"poisson","lambda_1",100,0.001,-3,TRUE,8.27403709990904e-08
"poisson","lambda_1",100,0.00316227766016838,-2.5,TRUE,8.33326762578355e-07
"poisson","lambda_1",100,0.01,-2,TRUE,8.33333186813317e-06
"poisson","lambda_1",1000,1e-09,-9,TRUE,2757.04455082706
"poisson","lambda_1",1000,3.16227766016838e-09,-8.5,TRUE,1953.1982235025
"poisson","lambda_1",1000,1e-08,-8,TRUE,173.252784426691
"poisson","lambda_1",1000,3.16227766016838e-08,-7.5,TRUE,18.2252784426691
"poisson","lambda_1",1000,1e-07,-7,TRUE,0.150219596828325
"poisson","lambda_1",1000,3.16227766016838e-07,-6.5,TRUE,0.106582224773563
"poisson","lambda_1",1000,1e-06,-6,TRUE,0.0381404517613577
"poisson","lambda_1",1000,3.16227766016838e-06,-5.5,TRUE,0.00295494966246552
"poisson","lambda_1",1000,1e-05,-5,TRUE,0.00044924582500549
"poisson","lambda_1",1000,3.16227766016838e-05,-4.5,TRUE,4.83364118462755e-06
"poisson","lambda_1",1000,1e-04,-4,TRUE,2.03166255783854e-06
"poisson","lambda_1",1000,0.000316227766016838,-3.5,TRUE,9.554126099737e-08
"poisson","lambda_1",1000,0.001,-3,TRUE,7.90082273365121e-08
"poisson","lambda_1",1000,0.00316227766016838,-2.5,TRUE,8.30397839928826e-07
"poisson","lambda_1",1000,0.01,-2,TRUE,8.33299877786435e-06
"poisson","lambda_1",10000,1e-09,-9,TRUE,347973.762813765
"poisson","lambda_1",10000,3.16227766016838e-09,-8.5,TRUE,38376.9108963604
"poisson","lambda_1",10000,1e-08,-8,TRUE,4205.44609539319
"poisson","lambda_1",10000,3.16227766016838e-08,-7.5,TRUE,261.21529084833
"poisson","lambda_1",10000,1e-07,-7,TRUE,19.2348517567523
"poisson","lambda_1",10000,3.16227766016838e-07,-6.5,TRUE,3.64171570322181
"poisson","lambda_1",10000,1e-06,-6,TRUE,0.291466312410215
"poisson","lambda_1",10000,3.16227766016838e-06,-5.5,TRUE,0.0326716855547685
