"dist","scenario","n","scheme","mle_converged","valid","reason","rcond","chol_ok","asym","eig_min","eig_max","step_stability","scale_stability","se_1","se_2","se_3"
"gamma","moderada",100,"A",TRUE,TRUE,NA,0.0525739722137787,TRUE,0,26.8322930306178,455.125623475423,6.66310514942794e-08,7.69628647569447e-08,0.279729285185913,62.8905161869193,NA
"gamma","moderada",100,"B",TRUE,TRUE,NA,0.0525586423497197,TRUE,0,26.8227397054123,455.113121891967,4.08037567977502e-05,4.7612006600998e-05,0.279783020591809,62.8999927647794,NA
"gamma","moderada",100,"C_richardson",TRUE,TRUE,NA,0.0525739621128085,TRUE,0,26.8322871157728,455.125609205154,9.69366772797598e-08,5.41431420843798e-07,0.279729313803411,62.8905229187728,NA
"gamma","moderada",1000,"A",TRUE,TRUE,NA,0.0555157429530171,TRUE,0,269.025014353916,4291.00495346391,7.18797046428191e-08,4.74452577078517e-06,0.0826211698127856,23.1304889271122,NA
"gamma","moderada",1000,"B",TRUE,TRUE,NA,0.0555095443145544,TRUE,0,268.98994325277,4290.97623818406,4.760815574034e-05,8.10787193476238e-05,0.082626880600915,23.1317766141164,NA
"gamma","moderada",1000,"C_richardson",TRUE,TRUE,NA,0.0555159269145262,TRUE,0,269.026144872312,4291.00669882053,6.29792525817782e-07,4.88656144349372e-06,0.0826209799840377,23.1304484400252,NA
"gamma","moderada",10000,"A",TRUE,TRUE,NA,0.054501812346857,TRUE,0,2687.87822543488,43776.3554398382,4.11803305479388e-07,4.14218916698561e-06,0.0267416519886016,7.28702246631322,NA
"gamma","moderada",10000,"B",TRUE,TRUE,NA,0.0544325002417209,TRUE,0,2683.65373890213,43770.34421291,0.000206148956357485,0.00163809709135452,0.0267643424914806,7.29186712923978,NA
"gamma","moderada",10000,"C_richardson",TRUE,TRUE,NA,0.0545027196553557,TRUE,0,2687.93142635629,43776.4069959382,2.11989872812881e-06,2.02350491356506e-05,0.0267413685624267,7.2869613146773,NA
"gamma","shape_bajo",100,"A",TRUE,TRUE,NA,0.12149626138801,TRUE,0,24.8329047110478,150.632688350132,2.33511966750164e-07,8.52275250806422e-07,0.0599193602660977,149.539067160253,NA
"gamma","shape_bajo",100,"B",TRUE,TRUE,NA,0.121494014046345,TRUE,0,24.8319065611431,150.629771188555,2.54596319324649e-05,0.00028438053087204,0.0599209508691976,149.54136394223,NA
"gamma","shape_bajo",100,"C_richardson",TRUE,TRUE,NA,0.121496170771706,TRUE,0,24.8328468111101,150.632479510105,1.89744810147611e-06,6.38150710854284e-06,0.0599194643863655,149.539192122412,NA
"gamma","shape_bajo",1000,"A",TRUE,TRUE,NA,0.12139225902705,TRUE,0,248.613574348074,1509.85516667496,9.50310090792043e-08,4.05981381128071e-07,0.0190370737296216,55.7822543934033,NA
