dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
normal,norm_estandar,100,P3c,3,2,A,mean,0.0,300,300,1.0,0.010940094425776748,nan,0.10666731993141024,nan,0.10628209832037971,0,0,0,0
normal,norm_estandar,100,P3c,3,2,A,sd,1.0,300,300,1.0,-0.02830616665087826,-0.02830616665087826,0.12210796599911239,0.12210796599911239,0.11898026714490378,0,0,0,0
normal,norm_estandar,100,P3c,3,2,B,mean,0.0,300,300,1.0,0.01378914152288263,nan,0.11452192376183455,nan,0.11387870064110195,0,0,0,0
normal,norm_estandar,100,P3c,3,2,B,sd,1.0,300,300,1.0,-0.03905726444237412,-0.03905726444237412,0.12531721358070383,0.12531721358070383,0.11927428598921752,0,0,0,0
normal,norm_estandar,100,P3c,3,2,Bg,mean,0.0,300,300,1.0,0.010940107346847536,nan,0.10666737697769318,nan,0.10628215443043741,0,0,0,0
normal,norm_estandar,100,P3c,3,2,Bg,sd,1.0,300,300,1.0,-0.02830619915355248,-0.02830619915355248,0.12210788645497725,0.12210788645497725,0.11898017747825432,0,0,0,0
normal,norm_estandar,100,P3c,3,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,100,P3c,3,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,100,P3c,3,2,D,mean,0.0,300,300,1.0,0.01144239058695707,nan,0.10687259655708335,nan,0.10643582829255867,0,0,0,0
normal,norm_estandar,100,P3c,3,2,D,sd,1.0,300,300,1.0,-0.023266876851765095,-0.023266876851765095,0.12221018774206548,0.12221018774206548,0.12017538366478782,0,0,0,0
normal,norm_estandar,100,P3w,3,2,A,mean,0.0,300,300,1.0,0.008869481012813566,nan,0.10190931221801837,nan,0.10169223795771756,0,0,0,0
normal,norm_estandar,100,P3w,3,2,A,sd,1.0,300,300,1.0,-0.021039181230976256,-0.021039181230976256,0.0886019431368677,0.0886019431368677,0.0862115534829217,0,0,0,0
normal,norm_estandar,100,P3w,3,2,B,mean,0.0,300,300,1.0,0.013999051725474393,nan,0.11675817388495074,nan,0.11610958547510143,0,0,0,0
normal,norm_estandar,100,P3w,3,2,B,sd,1.0,300,300,1.0,-0.02989934609956113,-0.02989934609956113,0.0905578069126726,0.0905578069126726,0.08562232636150889,0,0,0,0
normal,norm_estandar,100,P3w,3,2,Bg,mean,0.0,300,300,1.0,0.008869496187988558,nan,0.1019092787812008,nan,0.10169220300946785,0,0,0,0
