dgp,cfg,m,k,parameter,theta_true,R,n,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,median_abs_rel_err,p90_rel_err,p95_rel_err,catastrophic,catastrophic_rate
moderada,P3c,3,3,shape1,2.0,300,1000,300,1.0,0.03390445280495591,0.016952226402477955,0.29123194024672244,0.14561597012336122,0.09750887298345079,0.20577832855025818,0.28375532667206343,0,0.0
moderada,P3c,3,3,shape2,1.5,300,1000,300,1.0,122.04285614575568,81.36190409717045,772.2422809561758,514.8281873041173,0.373376020090342,1.854233935093493,3.6264484879985592,53,0.17666666666666667
moderada,P3c,3,3,scale,500.0,300,1000,300,1.0,2871.4318559869303,5.74286371197386,17103.810745219515,34.20762149043903,0.26824343300123665,1.0682462661275238,2.0778513984192735,34,0.11333333333333333
moderada,P3w,3,3,shape1,2.0,300,1000,300,1.0,0.022494558019706457,0.011247279009853228,0.15279452268565563,0.07639726134282782,0.049678381475319666,0.11863364597959006,0.14883052119564558,0,0.0
moderada,P3w,3,3,shape2,1.5,300,1000,300,1.0,0.06320906883452682,0.04213937922301788,0.44535007645761066,0.29690005097174044,0.15033679253570797,0.42462472297117104,0.6017573226630604,4,0.013333333333333334
moderada,P3w,3,3,scale,500.0,300,1000,300,1.0,13.880594742114226,0.02776118948422845,107.64065757819363,0.21528131515638724,0.11510355771855302,0.3115177529594418,0.438898355006941,1,0.0033333333333333335
moderada,P5,5,3,shape1,2.0,300,1000,300,1.0,0.006931525354731072,0.003465762677365536,0.14545573144231783,0.07272786572115891,0.045635661319303855,0.12220326267758658,0.134392696440959,0,0.0
moderada,P5,5,3,shape2,1.5,300,1000,300,1.0,0.10509728986481104,0.07006485990987403,0.5127266945435308,0.3418177963623539,0.16996571918519532,0.43273178026446923,0.6769967596429042,5,0.016666666666666666
moderada,P5,5,3,scale,500.0,300,1000,300,1.0,22.701152633693482,0.045402305267386964,120.01982489430462,0.24003964978860923,0.12668438359318326,0.3098859720170737,0.4889187255626172,2,0.006666666666666667
pesada,P3c,3,3,shape1,1.2,300,1000,300,1.0,0.019989559983929928,0.01665796665327494,0.18335872565840947,0.15279893804867456,0.09924458590992974,0.23915356244443595,0.3033783190292396,0,0.0
pesada,P3c,3,3,shape2,0.8,300,1000,300,1.0,0.11970792490620508,0.14963490613275635,0.5474335641132957,0.6842919551416196,0.2603681432081878,0.6389867624314454,1.1979700489572838,19,0.06333333333333334
pesada,P3c,3,3,scale,400.0,300,1000,300,1.0,121.88593953203701,0.30471484883009253,553.2712309285441,1.3831780773213602,0.3228427848294726,0.8463177129625932,1.7954000887965154,27,0.09
pesada,P3w,3,3,shape1,1.2,300,1000,300,1.0,-0.0021031597186538242,-0.0017526330988781869,0.0983850731798488,0.08198756098320734,0.05597496878868763,0.1336587922968689,0.14875751923643224,0,0.0
pesada,P3w,3,3,shape2,0.8,300,1000,300,1.0,0.03146086824922689,0.039326085311533615,0.1556016354995751,0.19450204437446886,0.12288977369493352,0.2818088863772861,0.35317522714994887,0,0.0
