"dgp","cfg","m","k","parameter","theta_true","R","n","scale_mode","paired_design","n_success","conv_rate","bias","rel_bias","rmse","rel_rmse","median_abs_rel_err","p90_rel_err","p95_rel_err","catastrophic","catastrophic_rate","m_eff_median"
"moderada","P3c",3,3,"shape1",2,300,1000,"spread",TRUE,298,0.993333333333333,0.0208784689277386,0.0104392344638693,0.254126434661812,0.127063217330906,0.084543071204175,0.204554000740248,0.233387850962123,0,0,3
"moderada","P3c",3,3,"shape2",1.5,300,1000,"spread",TRUE,298,0.993333333333333,9.74882384671314,6.49921589780876,98.9230746361764,65.9487164241176,0.309078181707665,2.05273240873869,4.86922989437805,49,0.164429530201342,3
"moderada","P3c",3,3,"scale",500,300,1000,"spread",TRUE,298,0.993333333333333,516.630090303649,1.0332601806073,3769.40380095018,7.53880760190036,0.234940595401955,1.39291827253042,2.54335880091779,35,0.11744966442953,3
"moderada","P3w",3,3,"shape1",2,300,1000,"spread",TRUE,299,0.996666666666667,0.00239023851610742,0.00119511925805371,0.141215433877288,0.0706077169386439,0.0475035487610099,0.118066779568941,0.139605758666564,0,0,3
"moderada","P3w",3,3,"shape2",1.5,300,1000,"spread",TRUE,299,0.996666666666667,0.118207616309091,0.0788050775393942,0.459947918687374,0.306631945791583,0.16324984254326,0.463432713430631,0.581941460240179,2,0.00668896321070234,3
"moderada","P3w",3,3,"scale",500,300,1000,"spread",TRUE,299,0.996666666666667,26.957592514284,0.053915185028568,111.800766908254,0.223601533816509,0.121057606325948,0.333801378696741,0.425632384012861,1,0.00334448160535117,3
"moderada","P5",5,3,"shape1",2,300,1000,"spread",TRUE,299,0.996666666666667,-0.00199346731290784,-0.000996733656453919,0.145576977799111,0.0727884888995554,0.0496767301058382,0.121986310271987,0.138506220679208,0,0,5
"moderada","P5",5,3,"shape2",1.5,300,1000,"spread",TRUE,299,0.996666666666667,0.142754732536378,0.095169821690919,0.487059589203139,0.324706392802093,0.170383254407814,0.484040258562487,0.654242071521886,4,0.0133779264214047,5
"moderada","P5",5,3,"scale",500,300,1000,"spread",TRUE,299,0.996666666666667,32.6486323405376,0.0652972646810751,117.977098490151,0.235954196980303,0.128989192989602,0.370251557401093,0.47622473752347,0,0,5
"pesada","P3c",3,3,"shape1",1.2,300,1000,"spread",TRUE,298,0.993333333333333,0.0126791076115842,0.0105659230096535,0.183925037084164,0.153270864236803,0.100917396414476,0.248470879054337,0.283975107467188,0,0,3
"pesada","P3c",3,3,"shape2",0.8,300,1000,"spread",TRUE,298,0.993333333333333,0.178540821087294,0.223176026359118,0.644752074471144,0.80594009308893,0.26312278882478,0.890362194109865,1.47698867500559,24,0.0805369127516778,3
"pesada","P3c",3,3,"scale",400,300,1000,"spread",TRUE,298,0.993333333333333,180.211012421856,0.450527531054641,663.455117672248,1.65863779418062,0.31392432035196,1.35169238352773,2.26945402966137,46,0.154362416107383,3
"pesada","P3w",3,3,"shape1",1.2,300,1000,"spread",TRUE,296,0.986666666666667,-0.0998968105275533,-0.0832473421062944,0.135505744088729,0.112921453407274,0.105829311442975,0.15961745433784,0.175263737645297,0,0,3
"pesada","P3w",3,3,"shape2",0.8,300,1000,"spread",TRUE,296,0.986666666666667,0.162820203314871,0.203525254143589,0.197780594595328,0.24722574324416,0.254846529641549,0.274707291842204,0.281476031160301,0,0,3
"pesada","P3w",3,3,"scale",400,300,1000,"spread",TRUE,296,0.986666666666667,109.230562406226,0.273076406015565,134.717783941654,0.336794459854136,0.312735455280114,0.461177544074644,0.487622855963491,0,0,3
"pesada","P5",5,3,"shape1",1.2,300,1000,"spread",TRUE,298,0.993333333333333,0.00668283048839524,0.00556902540699603,0.170424369943801,0.142020308286501,0.0928906292622039,0.228942642649072,0.263207338593686,0,0,5
"pesada","P5",5,3,"shape2",0.8,300,1000,"spread",TRUE,298,0.993333333333333,0.0740017104019641,0.0925021380024552,0.283026534189196,0.353783167736495,0.191944561199641,0.510308359894798,0.77337191978437,8,0.0268456375838926,5
"pesada","P5",5,3,"scale",400,300,1000,"spread",TRUE,298,0.993333333333333,72.2378723775608,0.180594680943902,226.718571887684,0.56679642971921,0.233926049395469,0.801813966903793,1.21695579705859,24,0.0805369127516778,5
"shapes_suaves","P3c",3,3,"shape1",3,300,1000,"spread",TRUE,300,1,0.0728324710776929,0.024277490359231,0.39541291557707,0.131804305192357,0.083536586470903,0.19542123538933,0.266304302420225,0,0,3
"shapes_suaves","P3c",3,3,"shape2",2.5,300,1000,"spread",TRUE,300,1,33.7320037976217,13.4928015190487,135.449753149719,54.1799012598878,0.527666457060389,14.7488796984018,82.7120577358164,82,0.273333333333333,3
"shapes_suaves","P3c",3,3,"scale",600,300,1000,"spread",TRUE,300,1,412.749615852412,0.687916026420686,1236.94761770267,2.06157936283778,0.247750494635248,2.16867532840203,4.9709026658163,52,0.173333333333333,3
"shapes_suaves","P3w",3,3,"shape1",3,300,1000,"spread",TRUE,300,1,0.0177094750808111,0.00590315836027037,0.207167202926502,0.069055734308834,0.0457566077253377,0.113150932769698,0.13432151187909,0,0,3
"shapes_suaves","P3w",3,3,"shape2",2.5,300,1000,"spread",TRUE,300,1,0.489474675314854,0.195789870125942,2.07897845147206,0.831591380588822,0.233656244939646,0.890253011711091,1.17598942522743,22,0.0733333333333333,3
"shapes_suaves","P3w",3,3,"scale",600,300,1000,"spread",TRUE,300,1,30.0435115172586,0.050072519195431,148.501408364359,0.247502347273932,0.112010223286874,0.34003968616823,0.438335186556728,5,0.0166666666666667,3
"shapes_suaves","P5",5,3,"shape1",3,300,1000,"spread",TRUE,300,1,0.0103074450219767,0.00343581500732556,0.188732183126438,0.0629107277088126,0.0406875385367433,0.10027294907195,0.118852221345312,0,0,5
"shapes_suaves","P5",5,3,"shape2",2.5,300,1000,"spread",TRUE,300,1,0.658948271374874,0.26357930854995,4.71251248476191,1.88500499390476,0.229904894262011,0.877962441153481,1.17072470838465,25,0.0833333333333333,5
"shapes_suaves","P5",5,3,"scale",600,300,1000,"spread",TRUE,300,1,34.1312079768732,0.0568853466281219,181.053724870869,0.301756208118115,0.10797593011349,0.33830517126686,0.445831706031623,1,0.00333333333333333,5
"shape2_alto","P3c",3,3,"shape1",2,300,1000,"spread",TRUE,297,0.99,0.0435803535941064,0.0217901767970532,0.233573659944713,0.116786829972357,0.071870053598351,0.161489721937813,0.229398569167914,0,0,3
"shape2_alto","P3c",3,3,"shape2",4,300,1000,"spread",TRUE,297,0.99,132.980044745759,33.2450111864396,348.294022682161,87.0735056705402,0.640658580033424,111.245570050038,234.100144262289,115,0.387205387205387,3
"shape2_alto","P3c",3,3,"scale",500,300,1000,"spread",TRUE,297,0.99,1747.18590435344,3.49437180870687,3977.07446011991,7.95414892023982,0.448297914997682,14.8089854006617,21.4623656760618,91,0.306397306397306,3
"shape2_alto","P3w",3,3,"shape1",2,300,1000,"spread",TRUE,300,1,0.0156573363047716,0.00782866815238581,0.148999365656141,0.0744996828280704,0.045857790696039,0.116909654987639,0.135224500515272,0,0,3
"shape2_alto","P3w",3,3,"shape2",4,300,1000,"spread",TRUE,300,1,38.4732456170259,9.61831140425647,204.963764176305,51.2409410440764,0.332436130917224,3.28730031968423,13.3043028114657,56,0.186666666666667,3
"shape2_alto","P3w",3,3,"scale",500,300,1000,"spread",TRUE,300,1,572.261827306747,1.14452365461349,2433.43841460743,4.86687682921486,0.23964517654316,1.60430698798623,4.11280989807593,45,0.15,3
"shape2_alto","P5",5,3,"shape1",2,300,1000,"spread",TRUE,298,0.993333333333333,0.0158417504297748,0.00792087521488738,0.142081647794663,0.0710408238973313,0.0450540799710013,0.108272347511447,0.150922442392365,0,0,5
"shape2_alto","P5",5,3,"shape2",4,300,1000,"spread",TRUE,298,0.993333333333333,33.1955930579492,8.29889826448731,255.0002998631,63.7500749657751,0.364863343217892,1.71618067123272,4.24525480856872,53,0.177852348993289,5
"shape2_alto","P5",5,3,"scale",500,300,1000,"spread",TRUE,298,0.993333333333333,388.094497274185,0.77618899454837,2206.74484199307,4.41348968398613,0.244401727834505,0.892322537234058,1.74613497206389,27,0.0906040268456376,5
"shape2_bajo","P3c",3,3,"shape1",2,300,1000,"spread",TRUE,299,0.996666666666667,0.0372546565440866,0.0186273282720433,0.346744509740443,0.173372254870222,0.115524292990933,0.270755535696427,0.365462887045238,0,0,3
"shape2_bajo","P3c",3,3,"shape2",0.5,300,1000,"spread",TRUE,299,0.996666666666667,0.046449396368591,0.092898792737182,0.206868926522785,0.41373785304557,0.201108842489934,0.566875580688727,0.744025610789763,9,0.0301003344481605,3
"shape2_bajo","P3c",3,3,"scale",500,300,1000,"spread",TRUE,299,0.996666666666667,43.4168323480834,0.0868336646961668,161.874798990976,0.323749597981952,0.135692550897801,0.425729467208104,0.594521015628195,6,0.020066889632107,3
"shape2_bajo","P3w",3,3,"shape1",2,300,1000,"spread",TRUE,294,0.98,0.0013471665503606,0.000673583275180301,0.154651630581346,0.077325815290673,0.0528650412690106,0.123546853046803,0.152625521757709,0,0,3
"shape2_bajo","P3w",3,3,"shape2",0.5,300,1000,"spread",TRUE,294,0.98,0.0119484967619625,0.023896993523925,0.0702163236666146,0.140432647333229,0.0959474765092649,0.220033577705505,0.250103807484821,0,0,3
"shape2_bajo","P3w",3,3,"scale",500,300,1000,"spread",TRUE,294,0.98,12.1758121325809,0.0243516242651617,56.1270083976439,0.112254016795288,0.0776006664862949,0.174435596718674,0.208942246636081,0,0,3
"shape2_bajo","P5",5,3,"shape1",2,300,1000,"spread",TRUE,298,0.993333333333333,0.0367512505395582,0.0183756252697791,0.308234405902544,0.154117202951272,0.0923837549990043,0.22458336062719,0.268190842093524,0,0,5
"shape2_bajo","P5",5,3,"shape2",0.5,300,1000,"spread",TRUE,298,0.993333333333333,0.0181916353060405,0.036383270612081,0.125702178665677,0.251404357331355,0.147833589524068,0.379556561782709,0.518299009683326,1,0.00335570469798658,5
"shape2_bajo","P5",5,3,"scale",500,300,1000,"spread",TRUE,298,0.993333333333333,20.0399467509253,0.0400798935018506,97.94686171766,0.19589372343532,0.110179525188927,0.281017574065622,0.398911716059813,0,0,5
