"dgp","parameter","R","n_pairs","prop_P3w_mejor","mediana_dif_relerr","media_dif_relerr"
"moderada","shape2",300,298,0.493288590604027,0.00195368964729041,-0.0173459450611954
"moderada","scale",300,298,0.493288590604027,0.00197880644181664,-0.0112161062282362
"pesada","shape2",300,294,0.394557823129252,0.0218259901631143,-0.0183472354005879
"pesada","scale",300,294,0.459183673469388,0.0373648914376132,-0.0469177402934405
"shapes_suaves","shape2",300,300,0.496666666666667,0.00202073251362522,-0.058172899160747
"shapes_suaves","scale",300,300,0.48,0.00392997439387491,0.000493032577355582
"shape2_alto","shape2",300,298,0.5,-0.000117899604887894,0.212194436473257
"shape2_alto","scale",300,298,0.496644295302013,0.000374152570596142,0.29207872882511
"shape2_bajo","shape2",300,292,0.671232876712329,-0.0474234443826257,-0.0781976541689954
"shape2_bajo","scale",300,292,0.667808219178082,-0.0279237456288316,-0.0537510854704315
"escala_x1000","shape2",300,300,0.506666666666667,-0.00786094674058316,-0.0234982883790842
"escala_x1000","scale",300,300,0.526666666666667,-0.0111288542088092,-0.0160617429434146
