"family","dgp","cfg","m","k","parameter","theta_true","ref_scale","rel_interpretable","R","n","paired","scale_mode","n_success","conv_rate","bias","rel_bias","rmse","rel_rmse","median_scaled_abs_err","p90_scaled_abs_err","catastrophic","catastrophic_rate","m_eff_median"
"exponential","rate_baja","P3w",3,1,"rate",0.01,0.01,TRUE,300,1000,TRUE,"s_Q",292,0.973333333333333,-1.35258508944646e-05,-0.00135258508944646,0.000383547307671066,0.0383547307671066,0.0264170131312808,0.0579947157350367,0,0,3
"exponential","rate_baja","P5",5,1,"rate",0.01,0.01,TRUE,300,1000,TRUE,"s_Q",296,0.986666666666667,-2.58455644284901e-05,-0.00258455644284901,0.000356258000295146,0.0356258000295146,0.0257417712294593,0.0562401241709453,0,0,5
"exponential","rate_alta","P3w",3,1,"rate",2,2,TRUE,300,1000,TRUE,"s_Q",296,0.986666666666667,0.00145485831598746,0.000727429157993731,0.0796886474187836,0.0398443237093918,0.0252602545143662,0.0689752348926699,0,0,3
"exponential","rate_alta","P5",5,1,"rate",2,2,TRUE,300,1000,TRUE,"s_Q",293,0.976666666666667,0.000591232342056269,0.000295616171028135,0.0738561187725164,0.0369280593862582,0.0225386933247029,0.059308820531938,0,0,5
"gamma","moderada","P3w",3,2,"shape",2,2,TRUE,300,1000,TRUE,"s_Q",300,1,0.012256623689114,0.00612831184455698,0.118706162755851,0.0593530813779253,0.0386495055479841,0.0986428709227893,0,0,3
"gamma","moderada","P3w",3,2,"scale",500,500,TRUE,300,1000,TRUE,"s_Q",300,1,-1.34263336728583,-0.00268526673457166,34.2062796791648,0.0684125593583295,0.0483190821542021,0.108508657837167,0,0,3
"gamma","moderada","P5",5,2,"shape",2,2,TRUE,300,1000,TRUE,"s_Q",300,1,0.0106461659766528,0.0053230829883264,0.114632216550084,0.0573161082750419,0.0421828648378324,0.0940893936748402,0,0,5
"gamma","moderada","P5",5,2,"scale",500,500,TRUE,300,1000,TRUE,"s_Q",300,1,-1.26935267761309,-0.00253870535522617,33.0180609115674,0.0660361218231347,0.0455026210686855,0.105063752054619,0,0,5
"gamma","shape_bajo","P3w",3,2,"shape",0.5,0.5,TRUE,300,1000,TRUE,"s_Q",300,1,0.00464434122182,0.00928868244364001,0.035329386432338,0.070658772864676,0.0463415591823665,0.118696746837353,0,0,3
"gamma","shape_bajo","P3w",3,2,"scale",1000,1000,TRUE,300,1000,TRUE,"s_Q",300,1,-11.9206977542254,-0.0119206977542254,90.9783697609919,0.0909783697609919,0.0658533217665049,0.142861638166513,0,0,3
"gamma","shape_bajo","P5",5,2,"shape",0.5,0.5,TRUE,300,1000,TRUE,"s_Q",300,1,0.00576744746280311,0.0115348949256062,0.0405746271426876,0.0811492542853752,0.0563795173749079,0.131917332281962,0,0,5
"gamma","shape_bajo","P5",5,2,"scale",1000,1000,TRUE,300,1000,TRUE,"s_Q",300,1,-11.8669689542438,-0.0118669689542438,97.3134184221117,0.0973134184221117,0.0748846644607949,0.156095434797935,0,0,5
"gamma","casi_sim","P3w",3,2,"shape",9,9,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,0.102269970263576,0.0113633300292862,0.53285583439095,0.0592062038212166,0.0382915998353898,0.0984125410392289,0,0,3
"gamma","casi_sim","P3w",3,2,"scale",100,100,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,-0.917922576354187,-0.00917922576354186,5.93443995803468,0.0593443995803468,0.0400820858386261,0.0992124042208448,0,0,3
"gamma","casi_sim","P5",5,2,"shape",9,9,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,0.0936252151608823,0.0104028016845425,0.508161376457291,0.0564623751619212,0.0364063461542362,0.0896027398784757,0,0,5
"gamma","casi_sim","P5",5,2,"scale",100,100,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,-0.874277564603034,-0.00874277564603034,5.63573562393937,0.0563573562393937,0.0381278617089212,0.0929588181852583,0,0,5
"weibull","moderada","P3w",3,2,"shape",1.5,1.5,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,0.00031331354388775,0.000208875695925167,0.0511582530522618,0.0341055020348412,0.0200050981610054,0.0582925122064397,0,0,3
"weibull","moderada","P3w",3,2,"scale",800,800,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,-0.651414711414986,-0.000814268389268733,19.246334458843,0.0240579180735538,0.0150604200679497,0.0415139500590826,0,0,3
"weibull","moderada","P5",5,2,"shape",1.5,1.5,TRUE,300,1000,TRUE,"s_Q",300,1,0.000820501157923648,0.000547000771949098,0.0485770465466908,0.0323846976977939,0.0211081167043974,0.0549148029338762,0,0,5
"weibull","moderada","P5",5,2,"scale",800,800,TRUE,300,1000,TRUE,"s_Q",300,1,-0.0143562896528238,-1.79453620660297e-05,18.9175551630738,0.0236469439538423,0.0137353201709053,0.0393526172337872,0,0,5
"weibull","shape_bajo","P3w",3,2,"shape",0.7,0.7,TRUE,300,1000,TRUE,"s_Q",292,0.973333333333333,0.00106308340546823,0.00151869057924034,0.0272849131219674,0.0389784473170962,0.0264176914110034,0.0663938009785227,0,0,3
"weibull","shape_bajo","P3w",3,2,"scale",500,500,TRUE,300,1000,TRUE,"s_Q",292,0.973333333333333,0.814546924204933,0.00162909384840987,25.4940525732285,0.0509881051464571,0.0382078075601521,0.0840422978319179,0,0,3
"weibull","shape_bajo","P5",5,2,"shape",0.7,0.7,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,-0.00189446851072772,-0.00270638358675389,0.032829375124878,0.0468991073212542,0.0330481173685924,0.0731565465911355,0,0,5
"weibull","shape_bajo","P5",5,2,"scale",500,500,TRUE,300,1000,TRUE,"s_Q",299,0.996666666666667,-1.82980377843813,-0.00365960755687627,27.0074380538038,0.0540148761076076,0.0347148971778258,0.0915126082481014,0,0,5
"weibull","casi_sim","P3w",3,2,"shape",3,3,TRUE,300,1000,TRUE,"s_Q",298,0.993333333333333,0.013402599561545,0.00446753318718166,0.095332351088855,0.0317774503629517,0.0213638370140368,0.052184686461772,0,0,3
"weibull","casi_sim","P3w",3,2,"scale",1000,1000,TRUE,300,1000,TRUE,"s_Q",298,0.993333333333333,-0.826043911388183,-0.000826043911388183,11.518069925908,0.011518069925908,0.0085151361866915,0.0178948094483933,0,0,3
