"family","dgp","parameter","k","R","n_pairs","prop_P3w_mejor","mediana_dif","media_dif","cat_P3w","cat_P5"
"exponential","rate_baja","rate",1,300,288,0.434027777777778,0.0014291879946335,0.00149766119786392,0,0
"exponential","rate_alta","rate",1,300,289,0.397923875432526,0.00183168093953312,0.00239547223307687,0,0
"gamma","moderada","shape",2,300,300,0.5,6.82508160281814e-05,0.00133236586363502,0,0
"gamma","moderada","scale",2,300,300,0.45,0.00179316056323592,0.00191279192141458,0,0
"gamma","shape_bajo","shape",2,300,300,0.616666666666667,-0.011505824255497,-0.0100698966462399,0,0
"gamma","shape_bajo","scale",2,300,300,0.586666666666667,-0.00586125418677358,-0.00552670638881545,0,0
"gamma","casi_sim","shape",2,300,298,0.456375838926175,0.00114210225539334,0.00181823706980453,0,0
"gamma","casi_sim","scale",2,300,298,0.449664429530201,0.0021930175973047,0.00251763631778525,0,0
"weibull","moderada","shape",2,300,299,0.48494983277592,0.000589099716999424,0.00107827362885243,0,0
"weibull","moderada","scale",2,300,299,0.478260869565217,0.000493175789135877,0.000261860698039207,0,0
"weibull","shape_bajo","shape",2,300,291,0.63573883161512,-0.00575223327787684,-0.00656359733187827,0,0
"weibull","shape_bajo","scale",2,300,291,0.491408934707904,0.00145940060510065,-8.60612973584822e-05,0,0
"weibull","casi_sim","shape",2,300,294,0.452380952380952,0.000997039013154472,0.000688595026801978,0,0
"weibull","casi_sim","scale",2,300,294,0.408163265306122,0.000423431063323448,0.000527780118146724,0,0
"lognormal","tipica","meanlog",2,300,283,0.561837455830389,-0.00340604865835545,-0.00455459289530058,0,0
"lognormal","tipica","sdlog",2,300,283,0.583038869257951,-0.00419184854985129,-0.00500421787454524,0,0
"lognormal","poca_disp","meanlog",2,300,295,0.48135593220339,0.000485643735492758,0.000726881171718786,0,0
"lognormal","poca_disp","sdlog",2,300,295,0.406779661016949,0.0015182320321637,0.00124466301665527,0,0
"lognormal","muy_dispersa","meanlog",2,300,276,0.652173913043478,-0.0122350958910385,-0.0152532855675474,0,0
"lognormal","muy_dispersa","sdlog",2,300,276,0.706521739130435,-0.015118603775183,-0.0159186969609795,0,0
"loglogistic","moderada","shape",2,300,298,0.506711409395973,-7.86138774266478e-05,7.89080474578471e-05,0,0
"loglogistic","moderada","scale",2,300,298,0.486577181208054,0.000388582654019367,0.00098408104293532,0,0
"loglogistic","cola_pesada","shape",2,300,289,0.674740484429066,-0.00860885429904238,-0.00971034653360828,0,0
"loglogistic","cola_pesada","scale",2,300,289,0.591695501730104,-0.00956226247205478,-0.00952427966004289,0,0
"loglogistic","cola_ligera","shape",2,300,291,0.378006872852234,0.0017085167344586,0.00135262815739098,0,0
"loglogistic","cola_ligera","scale",2,300,291,0.415807560137457,0.00077367664467954,0.000689063144687367,0,0
"pareto","moderada","shape",2,300,285,0.547368421052632,-0.0100167757169313,-0.00858411462164013,1,1
"pareto","moderada","scale",2,300,285,0.550877192982456,-0.0145648018139959,-0.0123359778332524,4,4
"pareto","cola_pesada","shape",2,300,292,0.585616438356164,-0.0100317574319203,-0.0179749991606835,0,0
"pareto","cola_pesada","scale",2,300,292,0.595890410958904,-0.0239665946217561,-0.0432373334493871,0,2
"pareto","cola_ligera","shape",2,300,293,0.539249146757679,-0.0078131225167255,-0.02788036441144,5,8
"pareto","cola_ligera","scale",2,300,293,0.542662116040956,-0.0164745978223765,-0.0364868013419509,10,13
"burr","moderada","shape1",3,300,298,0.486577181208054,0.00126998106183995,0.000181000515437463,0,0
"burr","moderada","shape2",3,300,298,0.5,-0.000487014961733687,-0.0124791054997786,5,3
"burr","moderada","scale",3,300,298,0.486577181208054,0.00239527495172593,-0.00659040924027765,2,0
"burr","pesada","shape1",3,300,292,0.452054794520548,0.00926795529673517,-0.00827705830880799,0,0
"burr","pesada","shape2",3,300,292,0.455479452054795,0.0109679573316604,-0.0532740086109864,0,9
"burr","pesada","scale",3,300,292,0.472602739726027,0.0167360729385187,-0.118901439842842,1,28
"normal","mu_pos","mean",2,300,298,0.473154362416107,0.000508857618141671,0.00128146689120427,0,0
"normal","mu_pos","sd",2,300,298,0.429530201342282,0.000931833775360089,0.00117625328896154,0,0
"normal","mu_cero","mean",2,300,288,0.416666666666667,0.00104273433599313,0.00141624176043583,0,0
"normal","mu_cero","sd",2,300,288,0.416666666666667,0.0017615678874448,0.00149251190332239,0,0
"normal","mu_neg","mean",2,300,300,0.466666666666667,0.0011059306415774,0.000792302975297594,0,0
"normal","mu_neg","sd",2,300,300,0.433333333333333,0.00114501123534758,0.00129473012409111,0,0
