dist,dgp,cfg,m,k,objective,median_theta_spread,median_J_spread,flat_valley
pareto,par_var_finita,P3c,3,2,A,1.1735343917617996e-06,8.980680392452965e-10,no
pareto,par_var_finita,P3c,3,2,Bg,0.0001232577205271055,2.1730567215189928e-06,no
pareto,par_var_finita,P3c,3,2,C,5.8307092855697316e-05,1.7179937447613093e-07,no
pareto,par_var_finita,P3c,3,2,D,0.0006125515914537001,1.5147487857179231e-05,no
pareto,par_var_finita,P5,5,2,A,1.0737548802458458e-06,2.2237513768374482e-10,no
pareto,par_var_finita,P5,5,2,Bg,1.9756819513438358e-05,3.5029638726648125e-08,no
pareto,par_var_finita,P5,5,2,C,2.4359398996269714e-05,1.174847116239652e-08,no
pareto,par_var_finita,P5,5,2,D,0.00041631998318378434,2.3418374180831805e-06,no
pareto,par_var_finita,P7,7,2,A,4.750484099321814e-07,3.490285377119725e-11,no
pareto,par_var_finita,P7,7,2,Bg,5.84188561428038e-06,1.7941408854877037e-09,no
pareto,par_var_finita,P7,7,2,C,1.4338503561041322e-05,2.512484692639719e-09,no
pareto,par_var_finita,P7,7,2,D,0.00041700132251848985,2.0217951128695847e-06,no
pareto,par_pesada,P3c,3,2,A,8.279439601877675e-07,5.619492323358642e-10,no
pareto,par_pesada,P3c,3,2,Bg,8.545686828708321e-05,1.6730923289476006e-06,no
pareto,par_pesada,P3c,3,2,C,3.18574102949716e-05,1.3738928236989702e-07,no
pareto,par_pesada,P3c,3,2,D,0.000380826255643368,1.2656523061557861e-05,no
pareto,par_pesada,P5,5,2,A,3.4289559445266694e-07,1.2950432783276562e-10,no
pareto,par_pesada,P5,5,2,Bg,8.80392193583003e-06,1.6255143893671744e-08,no
pareto,par_pesada,P5,5,2,C,5.372438270339016e-06,1.541561843621492e-09,no
pareto,par_pesada,P5,5,2,D,0.0002559911533090753,1.7224279749750466e-06,no
pareto,par_pesada,P7,7,2,A,8.027711275888077e-07,5.924547050072967e-11,no
pareto,par_pesada,P7,7,2,Bg,3.3777640997466913e-06,1.0512311628077782e-09,no
pareto,par_pesada,P7,7,2,C,1.7136260189267677e-06,2.292658393516268e-10,no
pareto,par_pesada,P7,7,2,D,0.00016606880466510794,6.382764613974278e-07,no
burr,burr_moderada,P3c,3,3,A,7.860625334348762e-06,0.5919150487424285,no
burr,burr_moderada,P3c,3,3,Bg,0.9999999999999994,578982495228.5667,no
burr,burr_moderada,P3c,3,3,C,0.0003173679533497952,146.77203826201549,no
burr,burr_moderada,P3c,3,3,D,0.0031078029735145105,2517.8220566979685,no
burr,burr_moderada,P5,5,3,A,1.4382384005309618e-06,2.941635195544946e-10,no
burr,burr_moderada,P5,5,3,Bg,3.0949241862263864e-05,1.1181067959056968e-07,no
burr,burr_moderada,P5,5,3,C,2.5650039873637297e-05,5.970927620947284e-08,no
burr,burr_moderada,P5,5,3,D,0.0003111733075100197,3.229718118464365e-06,no
burr,burr_moderada,P7,7,3,A,1.1824474563279878e-06,1.51736280208531e-10,no
burr,burr_moderada,P7,7,3,Bg,1.5699062944976834e-05,2.9623422002654213e-08,no
burr,burr_moderada,P7,7,3,C,1.797547583847932e-05,1.8341627856794257e-08,no
burr,burr_moderada,P7,7,3,D,0.00023687902476927897,1.37427905314041e-06,no
burr,burr_pesada,P3c,3,3,A,9.511515872209594e-06,0.7077329570876989,no
burr,burr_pesada,P3c,3,3,Bg,0.9999999950296677,93771511132.61235,no
burr,burr_pesada,P3c,3,3,C,6.728333722531485e-05,269.5298509551228,no
burr,burr_pesada,P3c,3,3,D,0.001099655773072604,275.489006769864,no
burr,burr_pesada,P5,5,3,A,4.5599213647185975e-06,1.221111624902178e-08,no
