dist,objective,n,ms_per_fit
exponential,A,1000,0.474
exponential,B,1000,0.44
exponential,Bg,1000,0.385
exponential,C,1000,0.315
exponential,D,1000,0.322
gamma,A,1000,2.514
gamma,B,1000,1.988
gamma,Bg,1000,2.318
gamma,C,1000,1.943
gamma,D,1000,1.202
weibull,A,1000,0.78
weibull,B,1000,0.657
weibull,Bg,1000,0.657
weibull,C,1000,0.678
weibull,D,1000,0.453
lognormal,A,1000,2.259
lognormal,B,1000,1.229
lognormal,Bg,1000,1.838
lognormal,C,1000,1.039
lognormal,D,1000,0.794
loglogistic,A,1000,1.188
loglogistic,B,1000,1.04
loglogistic,Bg,1000,1.09
loglogistic,C,1000,0.787
loglogistic,D,1000,0.581
pareto,A,1000,2.526
pareto,B,1000,1.498
pareto,Bg,1000,1.477
pareto,C,1000,1.511
pareto,D,1000,1.091
burr,A,1000,2.489
burr,B,1000,2.08
burr,Bg,1000,2.424
burr,C,1000,1.996
burr,D,1000,1.225
normal,A,1000,2.185
normal,B,1000,1.54
normal,Bg,1000,2.045
normal,C,1000,2.022
normal,D,1000,1.377
