dist,dgp,objective,R,c,conv_X,conv_cX,max_rel_dev_shape,max_rel_dev_scale
exponential,exp_m100,A,200,1000.0,0.96,0.955,9.052458038950865e-10,nan
exponential,exp_m100,B,200,1000.0,1.0,1.0,6.922758512822679e-10,nan
exponential,exp_m100,Bg,200,1000.0,1.0,1.0,1.7358134365961028e-10,nan
exponential,exp_m100,C,200,1000.0,1.0,1.0,2.4960480993887914e-09,nan
exponential,exp_m100,D,200,1000.0,1.0,1.0,2.130771396792185e-09,nan
gamma,gam_moderada,A,200,1000.0,0.995,1.0,2.980188209389389e-08,3.1296298604473396e-08
gamma,gam_moderada,B,200,1000.0,1.0,1.0,4.354359776987112e-08,5.2874848708851896e-08
gamma,gam_moderada,Bg,200,1000.0,1.0,1.0,3.884572200768527e-08,4.0142986434709564e-08
gamma,gam_moderada,C,200,1000.0,1.0,1.0,5.90190582413118e-08,7.067172033805973e-08
gamma,gam_moderada,D,200,1000.0,1.0,1.0,7.662745545707957e-08,8.591698550614798e-08
weibull,wei_moderada,A,200,1000.0,0.995,0.985,3.86876040753648e-09,7.495175612193652e-10
weibull,wei_moderada,B,200,1000.0,1.0,1.0,1.317904490787745e-09,4.203892590069942e-10
weibull,wei_moderada,Bg,200,1000.0,1.0,1.0,1.6978293608954515e-09,1.4314027687358947e-10
weibull,wei_moderada,C,200,1000.0,1.0,1.0,4.2463816248262726e-08,1.1801676321452469e-08
weibull,wei_moderada,D,200,1000.0,1.0,1.0,4.000605450035142e-08,4.238482666872417e-09
lognormal,lnorm_asim,A,200,1000.0,0.995,0.985,6.9365053561151e-10,nan
lognormal,lnorm_asim,B,200,1000.0,1.0,1.0,8.82049033288213e-10,nan
lognormal,lnorm_asim,Bg,200,1000.0,1.0,1.0,1.115446164434872e-09,nan
lognormal,lnorm_asim,C,200,1000.0,1.0,1.0,1.1701083585604033e-09,nan
lognormal,lnorm_asim,D,200,1000.0,1.0,1.0,4.527566856330227e-09,nan
loglogistic,llog_moderada,A,200,1000.0,0.985,0.995,1.4685305737101645e-09,1.5754281088366946e-09
loglogistic,llog_moderada,B,200,1000.0,1.0,1.0,1.8531940721954968e-09,8.937052592095621e-11
loglogistic,llog_moderada,Bg,200,1000.0,1.0,1.0,1.2416397653155218e-09,2.7991244536091415e-10
loglogistic,llog_moderada,C,200,1000.0,1.0,1.0,6.67447707394882e-09,1.385979948888852e-09
loglogistic,llog_moderada,D,200,1000.0,1.0,1.0,1.4145262892013118e-08,3.748727842342715e-10
pareto,par_var_finita,A,200,1000.0,0.98,0.905,0.1511754985518453,0.151066145419606
pareto,par_var_finita,B,200,1000.0,1.0,1.0,121.0541705804988,121.06594014210675
pareto,par_var_finita,Bg,200,1000.0,1.0,1.0,0.9243106450025791,0.9242549165787483
pareto,par_var_finita,C,200,1000.0,1.0,1.0,4552.530482397621,4552.350596261276
pareto,par_var_finita,D,200,1000.0,1.0,1.0,45.35188770092985,45.382140645282405
burr,burr_moderada,A,200,1000.0,0.99,0.745,0.49478835342278166,0.3583611341007581
burr,burr_moderada,B,200,1000.0,1.0,1.0,1.6915058725845913,0.8943786893645247
burr,burr_moderada,Bg,200,1000.0,1.0,1.0,0.3814434003380297,0.2615741301014993
burr,burr_moderada,C,200,1000.0,1.0,1.0,0.6551108064792697,0.4973300536233618
burr,burr_moderada,D,200,1000.0,1.0,1.0,0.9464813860814152,0.528299307320373
normal,norm_positiva,A,200,1000.0,1.0,1.0,0.0010708034367363365,nan
normal,norm_positiva,B,200,1000.0,1.0,1.0,0.012663047210667465,nan
normal,norm_positiva,Bg,200,1000.0,1.0,1.0,0.006330746580228189,nan
normal,norm_positiva,C,200,1000.0,1.0,1.0,0.012426691108821657,nan
normal,norm_positiva,D,200,1000.0,1.0,1.0,0.006243922027783121,nan
