"dist","scenario","mode","rep","where","theta","message","call"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",12,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
