claim_id,loss_amount
CLM00001,301.08
CLM00002,224.03
CLM00003,291.17
CLM00004,124.86
CLM00005,287.29
CLM00006,126.06
CLM00007,256.34
CLM00008,138.57
CLM00009,312.65
CLM00010,433.93
CLM00011,222.13
CLM00012,407.29
CLM00013,197.99
CLM00014,499.33
CLM00015,423.66
CLM00016,644.97
CLM00017,231.86
CLM00018,152.31
CLM00019,590.12
CLM00020,275.83
CLM00021,106.30
CLM00022,171.71
CLM00023,338.64
CLM00024,182.65
CLM00025,1023.78
CLM00026,940.94
CLM00027,1512.35
CLM00028,108.21
CLM00029,726.51
CLM00030,2738.86
CLM00031,716.57
CLM00032,1560.06
CLM00033,287.63
CLM00034,354.94
CLM00035,545.05
CLM00036,807.55
CLM00037,92.17
CLM00038,222.64
CLM00039,265.91
CLM00040,1409.70
CLM00041,309.27
CLM00042,388.70
CLM00043,199.28
CLM00044,1126.35
CLM00045,374.60
CLM00046,357.01
CLM00047,303.11
CLM00048,627.77
CLM00049,149.06
CLM00050,131.23
CLM00051,103.70
CLM00052,574.40
CLM00053,541.94
CLM00054,92.56
CLM00055,755.29
CLM00056,317.84
CLM00057,1228.64
CLM00058,816.52
CLM00059,265.09
CLM00060,464.72
CLM00061,431.31
CLM00062,391.13
CLM00063,967.47
CLM00064,59.41
CLM00065,472.80
CLM00066,135.79
CLM00067,966.14
CLM00068,253.06
CLM00069,305.59
CLM00070,354.13
CLM00071,110.58
CLM00072,41.19
CLM00073,290.62
CLM00074,294.66
CLM00075,262.31
CLM00076,1131.78
CLM00077,388.65
CLM00078,289.23
CLM00079,2210.47
CLM00080,2165.82
CLM00081,103.77
CLM00082,162.33
CLM00083,1614.11
CLM00084,309.97
CLM00085,334.03
CLM00086,465.05
CLM00087,282.41
CLM00088,1085.52
CLM00089,639.49
CLM00090,256.45
CLM00091,153.58
CLM00092,661.51
CLM00093,1445.70
CLM00094,596.95
CLM00095,1746.87
CLM00096,241.68
CLM00097,232.12
CLM00098,2166.70
CLM00099,479.67
CLM00100,180.10
CLM00101,223.52
CLM00102,916.24
CLM00103,645.65
CLM00104,1809.73
CLM00105,130.95
CLM00106,180.54
CLM00107,74.27
CLM00108,795.75
CLM00109,338.78
CLM00110,233.56
CLM00111,609.90
CLM00112,178.14
CLM00113,420.48
CLM00114,760.67
CLM00115,432.84
CLM00116,270.60
CLM00117,345.24
CLM00118,1541.55
CLM00119,849.97
CLM00120,648.27
CLM00121,306.97
CLM00122,202.81
CLM00123,200.11
CLM00124,1349.74
CLM00125,206.44
CLM00126,405.52
CLM00127,612.10
CLM00128,322.98
CLM00129,216.40
CLM00130,231.21
CLM00131,382.52
CLM00132,5890.81
CLM00133,335.43
CLM00134,642.77
CLM00135,565.76
CLM00136,107.20
CLM00137,275.33
CLM00138,485.12
CLM00139,748.35
CLM00140,324.93
CLM00141,499.59
CLM00142,4618.72
CLM00143,326.44
CLM00144,437.40
CLM00145,353.41
CLM00146,208.21
CLM00147,106.60
CLM00148,1064.77
CLM00149,3160.24
CLM00150,386.97
CLM00151,252.71
CLM00152,452.43
CLM00153,305.94
CLM00154,641.36
CLM00155,178.57
CLM00156,179.09
CLM00157,62.44
CLM00158,130.38
CLM00159,156.02
CLM00160,3483.00
CLM00161,232.73
CLM00162,118.61
CLM00163,103.00
CLM00164,722.69
CLM00165,984.11
CLM00166,507.02
CLM00167,898.66
CLM00168,1378.96
CLM00169,2922.12
CLM00170,249.97
CLM00171,344.63
CLM00172,2076.85
CLM00173,284.81
CLM00174,154.90
CLM00175,907.00
CLM00176,640.47
CLM00177,1277.85
CLM00178,357.54
CLM00179,1072.40
CLM00180,1262.44
CLM00181,183.83
CLM00182,58.73
CLM00183,97.93
CLM00184,1436.42
CLM00185,1381.39
CLM00186,149.50
CLM00187,234.19
CLM00188,387.53
CLM00189,1103.53
CLM00190,738.32
CLM00191,290.94
CLM00192,208.55
CLM00193,947.03
CLM00194,298.90
CLM00195,268.66
CLM00196,269.90
CLM00197,749.58
CLM00198,737.48
CLM00199,1157.02
CLM00200,69.32
CLM00201,199.53
CLM00202,95.92
CLM00203,206.55
CLM00204,290.35
CLM00205,118.82
CLM00206,369.40
CLM00207,188.85
CLM00208,164.22
CLM00209,197.16
CLM00210,2300.94
CLM00211,1256.32
CLM00212,251.05
CLM00213,53.13
CLM00214,1376.39
