claim_id,loss_amount
CLM00001,386.92
CLM00002,138.69
CLM00003,1302.85
CLM00004,127.21
CLM00005,1500.16
CLM00006,204.53
CLM00007,1090.51
CLM00008,1840.27
CLM00009,1523.65
CLM00010,1161.59
CLM00011,1093.23
CLM00012,1635.61
CLM00013,1048.33
CLM00014,1398.6
CLM00015,255.38
CLM00016,126.66
CLM00017,236.5
CLM00018,252.81
CLM00019,1767.59
CLM00020,1827.86
CLM00021,241.49
CLM00022,300.97
CLM00023,319.63
CLM00024,2253.59
CLM00025,254.39
CLM00026,1615.73
CLM00027,207.1
CLM00028,1592.83
CLM00029,456.85
CLM00030,330.16
CLM00031,348.55
CLM00032,196.73
CLM00033,194.3
CLM00034,420.29
CLM00035,219.07
CLM00036,208.99
CLM00037,287.04
CLM00038,285.26
CLM00039,1229.91
CLM00040,1802.15
CLM00041,158.83
CLM00042,328.13
CLM00043,347.08
CLM00044,384.17
CLM00045,1587.82
CLM00046,248.15
CLM00047,248.05
CLM00048,998.87
CLM00049,881.22
CLM00050,223.7
CLM00051,168.67
CLM00052,234.25
CLM00053,133.63
CLM00054,439.58
CLM00055,355.27
CLM00056,257.03
CLM00057,213.01
CLM00058,278.63
CLM00059,1381.39
CLM00060,347.07
CLM00061,435.55
CLM00062,1743.97
CLM00063,175.65
CLM00064,390.07
CLM00065,1038.75
CLM00066,266.38
CLM00067,177.68
CLM00068,150.52
CLM00069,1084.64
CLM00070,1212.76
CLM00071,181.58
CLM00072,204.77
CLM00073,151.09
CLM00074,1543.42
CLM00075,196.14
CLM00076,1061.3
CLM00077,225.99
CLM00078,286.49
CLM00079,279.34
CLM00080,104.26
CLM00081,1310.54
CLM00082,994.6
CLM00083,306.49
CLM00084,258.24
CLM00085,227.93
CLM00086,306.59
CLM00087,1671.27
CLM00088,215.15
CLM00089,308.4
CLM00090,1557.39
CLM00091,1496.4
CLM00092,1667.47
CLM00093,921.65
CLM00094,193.32
CLM00095,1354.49
CLM00096,185.93
CLM00097,1903.12
CLM00098,176.48
CLM00099,244.26
CLM00100,1105.07
CLM00101,192.82
CLM00102,150.64
CLM00103,146.07
CLM00104,190.69
CLM00105,243.17
CLM00106,260.68
CLM00107,1520.68
CLM00108,226.17
CLM00109,196.79
CLM00110,1086.21
CLM00111,197.35
CLM00112,1324.8
CLM00113,1670.11
CLM00114,198.37
CLM00115,213.61
CLM00116,240.52
CLM00117,1154.58
CLM00118,1091.44
CLM00119,350.89
CLM00120,279.77
CLM00121,1002.63
CLM00122,192.07
CLM00123,1007.58
CLM00124,184.14
CLM00125,338.96
CLM00126,1661.73
CLM00127,1556.58
CLM00128,1241.56
CLM00129,198.15
CLM00130,1140.47
CLM00131,993.41
CLM00132,924.96
CLM00133,625.51
CLM00134,1723.23
CLM00135,1347.38
CLM00136,1437.87
CLM00137,935.64
CLM00138,243.58
CLM00139,1016.2
CLM00140,393.57
CLM00141,149.73
CLM00142,294.05
CLM00143,1146.63
CLM00144,1393.44
CLM00145,239.78
CLM00146,1073.04
CLM00147,273.59
CLM00148,1389.98
CLM00149,1062.11
CLM00150,423.58
CLM00151,1336.79
CLM00152,357.52
CLM00153,245.67
CLM00154,995.0
CLM00155,1237.26
CLM00156,1031.93
CLM00157,1032.69
CLM00158,171.77
CLM00159,188.88
CLM00160,1384.32
CLM00161,420.49
CLM00162,1330.31
CLM00163,387.91
CLM00164,1282.73
CLM00165,294.58
CLM00166,197.47
CLM00167,215.72
CLM00168,2155.16
CLM00169,283.41
CLM00170,275.49
CLM00171,1647.04
CLM00172,770.71
CLM00173,152.37
CLM00174,1364.61
CLM00175,143.01
CLM00176,305.87
CLM00177,160.77
CLM00178,957.55
CLM00179,132.55
CLM00180,2554.48
CLM00181,223.64
CLM00182,323.92
CLM00183,1149.45
CLM00184,1135.36
CLM00185,282.52
CLM00186,1206.65
CLM00187,946.0
CLM00188,168.89
CLM00189,854.48
CLM00190,204.49
CLM00191,1136.48
CLM00192,231.74
CLM00193,310.43
CLM00194,268.38
CLM00195,358.44
CLM00196,1398.96
CLM00197,416.45
CLM00198,832.25
CLM00199,238.79
CLM00200,1678.49
CLM00201,1086.92
CLM00202,273.73
CLM00203,192.31
CLM00204,1371.37
CLM00205,1530.38
CLM00206,967.11
CLM00207,183.4
CLM00208,282.82
CLM00209,1437.84
CLM00210,353.38
CLM00211,197.06
CLM00212,1218.04
CLM00213,730.86
CLM00214,1162.6
CLM00215,823.39
CLM00216,885.13
CLM00217,998.2
CLM00218,213.28
CLM00219,1350.13
CLM00220,1678.07
CLM00221,429.47
CLM00222,234.75
CLM00223,494.5
CLM00224,229.15
CLM00225,1090.69
CLM00226,216.22
CLM00227,175.77
CLM00228,151.83
CLM00229,178.95
CLM00230,137.69
CLM00231,1662.95
CLM00232,186.74
CLM00233,148.46
CLM00234,157.8
CLM00235,271.59
CLM00236,1360.5
CLM00237,1211.16
CLM00238,1165.76
CLM00239,171.75
CLM00240,117.41
CLM00241,257.9
CLM00242,359.91
CLM00243,1749.74
CLM00244,1001.2
CLM00245,445.13
CLM00246,1005.46
CLM00247,204.52
CLM00248,1514.91
CLM00249,408.77
CLM00250,964.26
CLM00251,2237.45
CLM00252,135.62
CLM00253,167.24
CLM00254,2883.77
CLM00255,381.12
CLM00256,327.3
CLM00257,2063.51
CLM00258,658.38
CLM00259,136.57
CLM00260,1183.33
CLM00261,282.78
CLM00262,1040.85
CLM00263,373.44
CLM00264,1099.36
CLM00265,151.07
CLM00266,1207.38
CLM00267,188.4
CLM00268,265.48
CLM00269,341.58
CLM00270,306.45
CLM00271,227.33
CLM00272,182.61
CLM00273,208.89
CLM00274,243.37
CLM00275,734.08
CLM00276,290.32
CLM00277,1047.93
CLM00278,285.46
CLM00279,442.73
CLM00280,160.11
CLM00281,246.09
CLM00282,925.43
CLM00283,205.44
CLM00284,390.41
CLM00285,976.7
CLM00286,193.98
CLM00287,276.03
CLM00288,225.2
CLM00289,178.73
CLM00290,356.43
CLM00291,269.08
CLM00292,356.18
CLM00293,1080.55
CLM00294,980.27
CLM00295,1931.09
CLM00296,227.16
CLM00297,439.21
CLM00298,352.03
CLM00299,1052.92
CLM00300,1461.22
CLM00301,315.05
CLM00302,983.44
CLM00303,1472.16
CLM00304,216.23
CLM00305,186.54
CLM00306,2790.56
CLM00307,284.92
CLM00308,614.74
CLM00309,257.51
CLM00310,172.2
CLM00311,784.91
CLM00312,169.13
CLM00313,802.64
CLM00314,196.18
CLM00315,360.58
CLM00316,1385.12
CLM00317,260.41
CLM00318,1275.6
CLM00319,199.64
CLM00320,1895.53
CLM00321,209.66
CLM00322,446.77
CLM00323,1070.47
CLM00324,236.55
CLM00325,366.86
CLM00326,279.72
CLM00327,155.76
CLM00328,1407.18
CLM00329,799.24
CLM00330,349.04
CLM00331,278.39
CLM00332,485.84
CLM00333,392.5
CLM00334,222.37
CLM00335,941.02
CLM00336,205.35
CLM00337,351.66
CLM00338,1248.92
CLM00339,470.21
CLM00340,172.03
CLM00341,1224.25
CLM00342,1183.76
CLM00343,1105.57
CLM00344,1550.37
CLM00345,251.48
CLM00346,272.64
CLM00347,1518.71
CLM00348,1063.98
CLM00349,1101.84
