claim_id,loss_amount
CLM00001,1848.51
CLM00002,223.2
CLM00003,1266.33
CLM00004,1071.13
CLM00005,1113.04
CLM00006,461.12
CLM00007,581.5
CLM00008,1276.84
CLM00009,109.96
CLM00010,247.24
CLM00011,619.86
CLM00012,981.03
CLM00013,869.16
CLM00014,387.77
CLM00015,890.01
CLM00016,916.23
CLM00017,167.5
CLM00018,68.23
CLM00019,170.45
CLM00020,377.39
CLM00021,76.73
CLM00022,1806.6
CLM00023,1675.68
CLM00024,316.64
CLM00025,683.29
CLM00026,173.45
CLM00027,2301.14
CLM00028,1054.49
CLM00029,349.67
CLM00030,568.83
CLM00031,651.32
CLM00032,173.56
CLM00033,1508.44
CLM00034,901.82
CLM00035,1923.12
CLM00036,1115.84
CLM00037,1198.3
CLM00038,791.02
CLM00039,919.88
CLM00040,907.44
CLM00041,246.16
CLM00042,261.78
CLM00043,514.5
CLM00044,621.96
CLM00045,491.87
CLM00046,384.95
CLM00047,1222.13
CLM00048,1712.49
CLM00049,622.28
CLM00050,500.67
CLM00051,440.19
CLM00052,43.96
CLM00053,1097.39
CLM00054,1342.81
CLM00055,1890.53
CLM00056,535.66
CLM00057,47.08
CLM00058,1198.71
CLM00059,364.93
CLM00060,833.66
CLM00061,505.94
CLM00062,222.73
CLM00063,337.68
CLM00064,1667.47
CLM00065,209.98
CLM00066,416.93
CLM00067,178.62
CLM00068,48.89
CLM00069,523.79
CLM00070,1518.63
CLM00071,2239.1
CLM00072,1247.89
CLM00073,2535.88
CLM00074,1085.01
CLM00075,751.02
CLM00076,315.8
CLM00077,1094.95
CLM00078,1306.03
CLM00079,1254.31
CLM00080,58.43
CLM00081,1700.36
CLM00082,2063.68
CLM00083,122.75
CLM00084,1894.68
CLM00085,1340.26
CLM00086,966.26
CLM00087,720.68
CLM00088,445.18
CLM00089,1190.46
CLM00090,1634.31
CLM00091,1516.97
CLM00092,795.45
CLM00093,319.24
CLM00094,325.12
CLM00095,626.62
CLM00096,116.39
CLM00097,491.46
CLM00098,1014.64
CLM00099,325.0
CLM00100,179.99
CLM00101,760.07
CLM00102,455.3
CLM00103,1051.93
CLM00104,2808.52
CLM00105,370.76
CLM00106,1907.81
CLM00107,227.76
CLM00108,840.27
CLM00109,1602.96
CLM00110,536.45
CLM00111,921.58
CLM00112,869.72
CLM00113,322.6
CLM00114,1182.69
CLM00115,132.87
CLM00116,1647.92
CLM00117,409.95
CLM00118,207.69
CLM00119,314.87
CLM00120,486.67
CLM00121,501.98
CLM00122,1258.24
CLM00123,509.78
CLM00124,969.06
CLM00125,1738.11
CLM00126,571.14
CLM00127,370.39
CLM00128,1146.98
CLM00129,222.81
CLM00130,936.58
CLM00131,592.61
CLM00132,347.08
CLM00133,111.81
CLM00134,2191.92
CLM00135,469.72
CLM00136,1713.67
CLM00137,409.67
CLM00138,397.7
CLM00139,174.84
CLM00140,525.31
CLM00141,394.47
CLM00142,742.76
CLM00143,777.42
CLM00144,146.37
CLM00145,696.55
CLM00146,1052.86
CLM00147,1433.57
CLM00148,46.8
CLM00149,491.34
CLM00150,669.71
CLM00151,1555.28
CLM00152,211.17
CLM00153,606.06
CLM00154,345.5
CLM00155,65.51
CLM00156,432.66
CLM00157,1337.99
CLM00158,656.1
CLM00159,409.37
CLM00160,1320.14
CLM00161,749.68
CLM00162,375.74
CLM00163,912.39
CLM00164,805.76
CLM00165,1150.21
CLM00166,249.69
CLM00167,1345.96
CLM00168,491.98
CLM00169,657.49
CLM00170,213.95
CLM00171,56.19
CLM00172,768.35
CLM00173,682.58
CLM00174,63.06
CLM00175,1745.14
CLM00176,651.44
CLM00177,508.73
CLM00178,111.59
CLM00179,799.5
CLM00180,321.17
CLM00181,398.23
CLM00182,1503.07
CLM00183,1205.66
CLM00184,540.75
CLM00185,1668.28
CLM00186,1346.85
CLM00187,519.83
CLM00188,302.27
CLM00189,415.6
CLM00190,783.89
CLM00191,1003.44
CLM00192,542.21
CLM00193,1236.84
CLM00194,349.42
CLM00195,1078.01
CLM00196,1199.23
CLM00197,1013.87
CLM00198,744.66
CLM00199,226.05
CLM00200,346.54
CLM00201,187.71
CLM00202,2196.3
CLM00203,418.89
CLM00204,877.42
CLM00205,2555.12
CLM00206,649.77
CLM00207,282.03
