claim_id,loss_amount
CLM00001,929.29
CLM00002,433.57
CLM00003,853.89
CLM00004,369.54
CLM00005,472.11
CLM00006,962.25
CLM00007,461.46
CLM00008,378.68
CLM00009,666.8
CLM00010,597.0
CLM00011,705.21
CLM00012,571.14
CLM00013,1362.32
CLM00014,2753.74
CLM00015,527.79
CLM00016,365.84
CLM00017,967.98
CLM00018,651.09
CLM00019,460.64
CLM00020,755.35
CLM00021,824.76
CLM00022,376.01
CLM00023,627.35
CLM00024,722.39
CLM00025,1675.23
CLM00026,420.17
CLM00027,546.65
CLM00028,597.45
CLM00029,999.35
CLM00030,403.09
CLM00031,387.14
CLM00032,825.38
CLM00033,417.95
CLM00034,807.14
CLM00035,4130.82
CLM00036,367.36
CLM00037,486.81
CLM00038,803.57
CLM00039,511.22
CLM00040,578.11
CLM00041,367.99
CLM00042,436.84
CLM00043,941.67
CLM00044,484.67
CLM00045,542.07
CLM00046,411.42
CLM00047,1088.67
CLM00048,1735.2
CLM00049,502.71
CLM00050,425.55
CLM00051,504.59
CLM00052,379.8
CLM00053,434.33
CLM00054,460.99
CLM00055,1635.86
CLM00056,646.69
CLM00057,900.72
CLM00058,423.48
CLM00059,698.35
CLM00060,465.68
CLM00061,1722.26
CLM00062,462.98
CLM00063,632.21
CLM00064,691.73
CLM00065,1521.87
CLM00066,499.5
CLM00067,838.94
CLM00068,1009.6
CLM00069,1603.61
CLM00070,454.65
CLM00071,547.54
CLM00072,437.46
CLM00073,407.52
CLM00074,511.95
CLM00075,369.25
CLM00076,451.67
CLM00077,512.21
CLM00078,434.69
CLM00079,514.98
CLM00080,524.6
CLM00081,375.94
CLM00082,9899.29
CLM00083,400.5
CLM00084,355.03
CLM00085,1869.33
CLM00086,362.04
CLM00087,575.37
CLM00088,861.86
CLM00089,397.67
CLM00090,587.78
CLM00091,616.36
CLM00092,420.5
CLM00093,354.39
CLM00094,685.0
CLM00095,398.0
CLM00096,443.47
CLM00097,350.8
CLM00098,762.6
CLM00099,728.81
CLM00100,416.3
CLM00101,664.24
CLM00102,386.79
CLM00103,1464.37
CLM00104,934.48
CLM00105,1057.94
CLM00106,563.85
CLM00107,1024.56
CLM00108,373.21
CLM00109,412.53
CLM00110,405.41
CLM00111,380.69
CLM00112,402.53
CLM00113,610.53
CLM00114,354.86
CLM00115,2988.81
CLM00116,375.39
CLM00117,388.85
CLM00118,357.94
CLM00119,429.4
CLM00120,603.51
CLM00121,370.69
CLM00122,763.73
CLM00123,422.77
CLM00124,410.7
CLM00125,996.38
CLM00126,435.57
CLM00127,415.54
CLM00128,5796.94
CLM00129,1028.97
CLM00130,1093.95
CLM00131,581.37
CLM00132,443.42
CLM00133,387.24
CLM00134,1628.43
CLM00135,473.02
CLM00136,399.79
CLM00137,385.26
CLM00138,398.4
CLM00139,660.0
CLM00140,481.0
CLM00141,683.1
CLM00142,377.8
CLM00143,447.13
CLM00144,719.92
CLM00145,539.17
CLM00146,404.04
CLM00147,361.95
CLM00148,868.68
CLM00149,397.46
CLM00150,415.16
CLM00151,484.28
CLM00152,379.25
CLM00153,378.22
CLM00154,373.15
CLM00155,772.76
CLM00156,399.48
CLM00157,413.74
CLM00158,354.04
CLM00159,639.77
CLM00160,459.66
CLM00161,446.53
CLM00162,1439.61
CLM00163,479.3
CLM00164,489.73
CLM00165,378.7
CLM00166,379.17
CLM00167,707.83
CLM00168,383.75
CLM00169,523.7
CLM00170,1104.25
CLM00171,389.14
CLM00172,3447.24
CLM00173,539.72
CLM00174,435.42
CLM00175,1100.28
CLM00176,361.63
CLM00177,2334.98
CLM00178,360.93
CLM00179,1499.3
CLM00180,407.56
CLM00181,512.77
CLM00182,594.08
CLM00183,532.71
CLM00184,504.58
CLM00185,353.33
CLM00186,393.85
CLM00187,549.56
CLM00188,445.74
CLM00189,394.31
CLM00190,354.34
CLM00191,397.43
CLM00192,61519.64
CLM00193,814.79
CLM00194,1250.71
CLM00195,388.38
CLM00196,887.08
CLM00197,358.67
CLM00198,1177.58
CLM00199,403.49
CLM00200,431.68
CLM00201,601.28
CLM00202,432.7
CLM00203,458.85
CLM00204,569.14
CLM00205,966.82
CLM00206,554.41
CLM00207,436.08
CLM00208,1900.8
CLM00209,1552.27
CLM00210,376.67
CLM00211,387.49
CLM00212,394.16
CLM00213,560.2
CLM00214,854.54
CLM00215,1308.75
CLM00216,521.36
CLM00217,657.97
CLM00218,936.89
CLM00219,415.99
CLM00220,502.08
CLM00221,628.97
CLM00222,2675.53
CLM00223,381.8
CLM00224,434.49
CLM00225,797.96
CLM00226,369.8
CLM00227,538.43
CLM00228,391.8
CLM00229,3475.05
CLM00230,882.45
CLM00231,556.72
CLM00232,378.02
CLM00233,1205.57
CLM00234,597.3
CLM00235,498.67
CLM00236,544.37
CLM00237,391.28
CLM00238,988.99
CLM00239,467.74
CLM00240,473.83
CLM00241,449.9
CLM00242,754.14
CLM00243,888.71
CLM00244,1252.06
CLM00245,543.83
CLM00246,556.99
CLM00247,455.21
CLM00248,1132.44
CLM00249,887.74
CLM00250,594.32
CLM00251,415.33
CLM00252,408.68
CLM00253,591.53
CLM00254,1395.93
CLM00255,381.73
CLM00256,448.83
CLM00257,356.42
CLM00258,358.7
CLM00259,678.87
CLM00260,358.91
CLM00261,599.76
CLM00262,513.91
CLM00263,460.38
CLM00264,352.92
CLM00265,502.59
CLM00266,422.17
CLM00267,1831.96
CLM00268,432.96
CLM00269,406.52
CLM00270,1012.44
CLM00271,434.69
CLM00272,407.25
CLM00273,376.83
CLM00274,371.37
CLM00275,658.21
CLM00276,887.64
CLM00277,530.69
CLM00278,377.23
CLM00279,1301.03
CLM00280,387.23
CLM00281,1358.91
CLM00282,917.52
CLM00283,395.44
CLM00284,387.99
CLM00285,462.64
